INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
20101008	2	1	1	8	Herbal1_16	Hoàng C¥m	V¸ ð¡ng, lÕnh. Công døng thanh nhi®t, giäi ðµc, c¥m máu, an thai. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	4	1125	40	4	40	-1	-1	1	8	4	-1	-1	Dßþc Li®u Trung C¤p	4	0	2000	-1	0
20101009	2	1	1	9	Herbal1_9	Câu KÖ	Cây h÷ cà. V¸ ng÷t, công døng lþi gan b± th§n, sáng m¡t, mÕnh gân c¯t. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	4	1125	40	4	40	-1	-1	1	8	4	-1	-1	Dßþc Li®u Trung C¤p	4	0	2000	-1	0
20101010	2	1	1	10	Herbal1_3	Tr¥m Hß½ng	Cây h÷ 2 lá. V¸ cay, ð¡ng, ôn. Công døng giäm ðau, giäm nôn, ði«u khí. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	4	1375	40	4	40	-1	-1	1	8	4	-1	-1	Dßþc Li®u Trung C¤p	4	0	2000	-1	0
20101011	2	1	1	11	Herbal1_11	Ð² Tr÷ng	Cây h÷ ð² tr÷ng. V¸ ng÷t h½i cay, d¸u. Tr¸ ðau lßng, tê chân. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	5	1375	50	4	40	-1	-1	1	8	5	-1	-1	Dßþc Li®u Trung C¤p	5	0	2000	-1	0
20101012	2	1	1	12	Herbal1_4	Thß½ng Thu§t	Cây h÷ cúc. V¸ cay, d¸u. Công døng ki®n tÏ, khÑ phong, sáng m¡t. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	5	1375	50	4	40	-1	-1	1	8	5	-1	-1	Dßþc Li®u Trung C¤p	5	0	2000	-1	0
20101013	2	1	1	13	Herbal2_14	Phøc Linh	Cây n¤m. V¸ ng÷t. Công døng lþi tÏ, an th¥n,. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	5	1625	50	4	40	-1	-1	1	8	5	-1	-1	Dßþc Li®u Trung C¤p	5	0	2000	-1	0
20101014	2	1	1	14	Herbal1_13	Phòng Phong	Cây hình tán. V¸ cay, ng÷t. Công døng giäi xu¤t hÕn, khØ phong tr× th¤p. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	6	1625	60	4	40	-1	-1	1	8	6	-1	-1	Dßþc Li®u Trung C¤p	6	0	2000	-1	0
20101015	2	1	1	15	Herbal2_3	Hß½ng Nhu	V¸ cay, d¸u. Công døng khØ phong tr× th¤p. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	6	1625	60	4	40	-1	-1	1	8	6	-1	-1	Dßþc Li®u Trung C¤p	6	0	2000	-1	0
20101016	2	1	1	16	Herbal2_9	Hoàng Liên	Cây h÷ mao c¦n. V¸ ð¡ng, hàn. Công døng giäi ðµc, thanh nhi®t. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	6	1875	60	4	40	-1	-1	1	8	6	-1	-1	Dßþc Li®u Trung C¤p	6	0	2000	-1	0
20101017	2	1	1	17	Herbal2_6	Ðß½ng Qui	Cây hình tán. V¸ ng÷t, cay, tính ôn. Công døng hoÕt huyªt b± huyªt, giäm ðau, nhu§n trß¶ng. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	7	1875	70	4	40	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101018	2	1	1	18	Herbal1_5	Quª Tâm	Cây h÷ hß½ng mµc. V¸ ð¡ng, cay. Công døng hoÕt huyªt, sáng m¡t, mÕnh gân c¯t. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	7	1875	70	4	40	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101019	2	1	1	19	Herbal2_1	Hß½ng Phø	Cây h÷ cö g¤y. V¸ ng÷t, ð¡ng. Công døng giäi tÑc, ði«u kinh giäm ðau. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	7	2125	70	4	40	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101020	2	1	1	20	Herbal1_7	Ho¡c Hß½ng	V¸ ng÷t. Công dung thanh nhi®t, giäi s¥u. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	8	2125	80	4	40	-1	-1	1	8	8	-1	-1	Dßþc Li®u Cao C¤p	8	0	2000	-1	0
20101021	2	1	1	21	Herbal2_4	H°i Th¥n Thäo	Cây phát ra hß½ng th½m n°ng. Công døng thanh nhi®t giäi ðµc. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	8	2125	80	4	40	-1	-1	1	8	8	-1	-1	Dßþc Li®u Cao C¤p	8	0	2000	-1	0
20101022	2	1	1	22	Herbal2_7	Thü Ô	Cây h÷ li­u. Thân ng÷t chát. Công døng mát gan, tinh huyªt, mÕnh gân c¯t. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	8	2375	80	4	40	-1	-1	1	8	8	-1	-1	Dßþc Li®u Cao C¤p	8	0	2000	-1	0
20101023	2	1	1	23	Herbal1_15	Ðông Trùng HÕ Thäo	Ðông trùng hÕ thäo không phäi cö mà là 1 loÕi chân khu¦n(Ascomycota), là giä khu¦n hÕch ký sinh trên ngß¶i d½i con, là hþp h¬ giæa khu¦n sþi và h® sâu, mà ngoÕi hình sâu con không thay ð±i. Ðây là qu¥n xã ð£c bi®t cüa cao nguyên Thanh TÕng. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	9	2375	90	4	40	-1	-1	1	8	9	-1	-1	Dßþc Li®u Cao C¤p	9	0	2000	-1	0
20101024	2	1	1	24	Herbal1_5	Long Quì TØ	Cây h÷ cà, có hoa vån hình r°ng. V¸ ð¡ng, hàn, h½i ðµc, có công døng thanh nhi®t giäi ðµc, giäm sßng. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	9	2625	90	4	40	-1	-1	1	8	9	-1	-1	Dßþc Li®u Cao C¤p	9	0	2000	-1	0
20101025	2	1	1	25	Herbal1_14	Tßþng B¯i	Cây bách hþp. Tính hàn, v¸ ð¡ng, tr¸ ho, ðau ph±i. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	10	2625	100	4	40	-1	-1	1	8	10	-1	-1	Dßþc Li®u Cao C¤p	10	0	2000	-1	0
20101026	2	1	1	26	Herbal2_10	Nhân Sâm	Thu¯c quý. V¸ ng÷t, h½i ð¡ng, công døng b± nguyên khí, b± tÏ lþi phª, an th¥n. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	10	2625	100	4	40	-1	-1	1	8	10	-1	-1	Dßþc Li®u Cao C¤p	10	0	2000	-1	0
20101027	2	1	1	27	Herbal2_11	Linh Chi	Cây n¤m. V¸ ng÷t, không ðµc. Có lþi tâm khí, tån trí tu®. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	11	2875	110	4	40	-1	-1	1	8	11	-1	-1	Dßþc Li®u Cao C¤p	11	0	2000	-1	0
20101028	2	1	1	28	Herbal1_16	Tuân Thäo	Lá nhß lam, quä ðö, dùng làm ð©p, dßÞng huyªt b± tâm. Tr¸ ðau ð¥u hoa m¡t, gân c¯t m®t möi. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	11	2875	110	4	40	-1	-1	1	8	11	-1	-1	Dßþc Li®u Cao C¤p	11	0	2000	-1	0
20101029	2	1	1	29	Herbal2_6	Liên TØ	Cây h÷ súng. V¸ ng÷t. Công døng lþi khí, säng khoái c½ th¬. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	12	3125	120	4	40	-1	-1	1	8	12	-1	-1	Dßþc Li®u Cao C¤p	12	0	2000	-1	0
20101030	2	1	1	30	Herbal1_16	Khô Mµc Xuân	cö không màu không v¸, hòa tan hoàn toàn trong nß¾c. Công døng giäi ðµc, khß phong. Dùng ð¬ chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	12	3125	120	4	40	-1	-1	1	8	12	-1	-1	Dßþc Li®u Cao C¤p	12	0	2000	-1	0
20101031	2	1	1	31	CircularTaskTool29_12	Long Diên Thäo	Dùng chª thu¯c Thiên Hoang C± Cänh. Nguyên li®u chª thu¯c Thiên Hoang C± cänh. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#W tìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. #rTÕi#GPhøng Minh Tr¤n(205,134) Ti®m GØi Bán#Wð¬ gØi bán. #r#GThiên Hoang C± Cänh tØ vong s¨ r½i ra	7	1875	70	4	40	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101032	2	1	1	32	CircularTaskTool26_4	Thanh Lµ	Dùng chª thu¯c Thiên Hoang C± Cänh. Nguyên li®u cao c¤p chª thu¯c Thiên Hoang C± Cänh. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#W tìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. #rTÕi#GPhøng Minh Tr¤n(205,134) Ti®m GØi Bán#Wð¬ gØi bán. #r#GThiên Hoang C± Cänh tØ vong s¨ r½i ra	7	1875	70	4	40	-1	-1	1	8	7	-1	-1	Thäo Dßþc Phø	7	0	2000	-1	0
20101033	2	1	1	33	CircularTaskTool25_1	A Giao	Dùng chª thu¯c Thiên Hoang C± Cänh. V¾i#YLong Diên Thäo#Whþp chª thành#YLinh Chi Ðan#W. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#Wtìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. 	7	20000	5000	4	40	-1	-1	1	-1	-1	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101034	2	1	1	34	CircularTaskTool26_8	Ðào Nhân	Dùng chª thu¯c Thiên Hoang C± Cänh. V¾i#YLong Diên Thäo#Whþp chª thành#YTØ Chu Cao#W. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#Wtìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. 	7	20000	5000	4	40	-1	-1	1	-1	-1	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101035	2	1	1	35	CircularTaskTool29_16	Ma Hoàng	Dùng chª thu¯c Thiên Hoang C± Cänh. V¾i#YVinh Thäo#Whþp chª thành#YTuyªt Liên Linh D¸ch#W. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#Wtìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. 	7	10000	2500	4	40	-1	-1	1	-1	-1	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101036	2	1	1	36	CircularTaskTool25_3	Sài H°	Dùng chª thu¯c Thiên Hoang C± Cänh. V¾i#YVinh Thäo#Whþp chª thành#YQuýnh Viêm Ðan#W. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#Wtìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. 	7	10000	2500	4	40	-1	-1	1	-1	-1	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101037	2	1	1	37	CircularTaskTool25_6	Phòng KÖ	Dùng chª thu¯c Thiên Hoang C± Cänh. V¾i#YVinh Thäo#Whþp chª thành#YThiên Huy«n Hoàn#W. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#Wtìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. 	7	10000	2500	4	40	-1	-1	1	-1	-1	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
20101038	2	1	1	38	CircularTaskTool25_16	Ngßu Hoàng	Dùng chª thu¯c Thiên Hoang C± Cänh. V¾i#YVinh Thäo#Whþp chª thành#YT¯ Tâm Ðan#W. #rÐªn #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GPhøng Minh Tr¤n(246,59) #RHoa S· Nông#Wtìm hi¬u #Gcách chª thu¯c#WThiên Hoang C± Cänh. 	7	10000	2500	4	40	-1	-1	1	-1	-1	-1	-1	Dßþc Li®u Cao C¤p	7	0	2000	-1	0
