INT	INT	INT	STRING	INT	INT	INT
10124014	-1	2005	-1	0	1	1
10124015	-1	2005	-1	0	1	1
10124016	-1	2005	-1	0	1	1
10124017	-1	2005	-1	0	1	1
10124018	720	2005	-1	0	1	1
10124019	720	2005	-1	0	1	1
10124020	2160	2005	-1	0	1	1
10124021	2160	2005	-1	0	1	1
10124022	720	2005	-1	0	1	1
10124023	720	2005	-1	0	1	1
10124024	720	2005	-1	0	1	1
10124025	720	2005	-1	0	1	1
10124026	2160	2005	-1	0	1	1
10124027	2160	2005	-1	0	1	1
10124028	-1	2005	-1	0	1	1
10124029	-1	2005	-1	0	1	1
10124030	2160	2005	-1	0	1	1
10124031	2160	2005	-1	0	1	1
10124032	2160	2005	-1	0	1	1
10124033	2160	2005	-1	0	1	1
10124034	2160	2005	-1	0	1	1
10124035	-1	2005	-1	0	1	1
10124036	-1	2005	-1	0	1	1
10124037	-1	2005	-1	0	1	1
10124038	-1	2005	-1	0	1	1
10124039	-1	2005	-1	0	1	1
10124040	-1	2005	-1	0	1	1
10124041	-1	2005	-1	0	1	1
10124042	-1	2005	-1	0	1	1
10124043	720	2005	-1	0	1	1
10124044	720	2005	-1	0	1	1
10124045	720	2005	-1	0	1	1
10124046	720	2005	-1	0	1	1
10124047	720	2005	-1	0	1	1
10124048	720	2005	-1	0	1	1
10124049	720	2005	-1	0	1	1
10124050	720	2005	-1	0	1	1
10124051	2160	2005	-1	0	1	1
10124052	2160	2005	-1	0	1	1
10124053	2160	2005	-1	0	1	1
10124054	2160	2005	-1	0	1	1
10124055	2160	2005	-1	0	1	1
10124056	2160	2005	-1	0	1	1
10124057	2160	2005	-1	0	1	1
10124058	2160	2005	-1	0	1	1
10124059	-1	2005	-1	0	1	1
10124060	-1	2005	-1	0	1	1
10124061	-1	2005	-1	0	1	1
10124062	-1	2005	-1	0	1	1
10124063	-1	2005	-1	0	1	1
10124064	-1	2005	-1	0	1	1
10124065	-1	2005	-1	0	1	1
10124066	-1	2005	-1	0	1	1
10124067	720	2005	-1	0	1	1
10124068	2160	2005	-1	0	1	1
10124069	-1	2005	-1	0	1	1
10124070	720	2005	-1	0	1	1
10124071	720	2005	-1	0	1	1
10124072	-1	2005	-1	0	1	1
10124073	720	2005	-1	0	1	1
10124074	2160	2005	-1	0	1	1
10124075	-1	2005	-1	0	1	1
10124076	720	2005	-1	0	1	1
10124077	720	2005	-1	0	1	1
10124078	720	2005	-1	0	1	1
10124079	720	2005	-1	0	1	1
10124080	720	2005	-1	0	1	1
10124081	720	2005	-1	0	1	1
10124082	1440	2005	-1	0	1	1
10124083	720	2005	-1	0	1	1
10124084	2160	2005	-1	0	1	1
10124085	-1	2005	-1	0	1	1
10124086	4320	2005	-1	0	1	1
10124087	2160	2005	-1	0	1	1
10124088	2160	2005	-1	0	1	1
10124089	720	2005	-1	0	1	1
10124090	2160	2005	-1	0	1	1
10124091	-1	2005	-1	0	1	1
10124092	720	2005	-1	0	1	1
10124093	2160	2005	-1	0	1	1
10124094	-1	2005	-1	0	1	1
10124095	720	2005	-1	0	1	1
10124096	2160	2005	-1	0	1	1
10124097	-1	2005	-1	0	1	1
10124098	720	2005	-1	0	1	1
10124099	2160	2005	-1	0	1	1
10124100	-1	2005	-1	0	1	1
10124101	720	2005	-1	0	1	1
10124102	2160	2005	-1	0	1	1
10124103	-1	2005	-1	0	1	1
10124104	720	2005	-1	0	1	1
10124105	2160	2005	-1	0	1	1
10124106	-1	2005	-1	0	1	1
10124107	720	2005	-1	0	1	1
10124108	2160	2005	-1	0	1	1
10124109	-1	2005	-1	0	1	1
10124110	2160	2005	-1	0	1	1
10124111	168	2005	-1	0	1	1
10124112	720	2005	-1	0	1	1
10124113	-1	2005	-1	0	1	1
10124114	-1	2005	-1	0	1	1
10124115	-1	2005	-1	0	1	1
10124116	-1	2005	-1	0	1	1
10124117	-1	2005	-1	0	1	1
10124118	-1	2005	-1	0	1	1
10124119	-1	2005	-1	0	1	1
10124120	-1	2005	-1	0	1	1
10124121	-1	2005	-1	0	1	1
10124122	24	2005	-1	0	1	1
10124123	24	2005	-1	0	1	1
10124124	720	2005	-1	0	1	1
10124125	2160	2005	-1	0	1	1
10124126	-1	2005	-1	0	1	1
10124127	720	2005	-1	0	1	1
10124128	2160	2005	-1	0	1	1
10124129	-1	2005	-1	0	1	1
10124130	720	2005	-1	0	1	1
10124131	720	2005	-1	0	1	1
10124132	2160	2005	-1	0	1	1
10124133	-1	2005	-1	0	1	1
10124134	720	2005	-1	0	1	1
10124135	720	2005	-1	0	1	1
10124136	2160	2005	-1	0	1	1
10124137	-1	2005	-1	0	1	1
10124138	720	2005	-1	0	1	1
10124139	2160	2005	-1	0	1	1
10124140	-1	2005	-1	0	1	1
10124141	168	2005	-1	0	1	1
10124142	720	2005	-1	0	1	1
10124143	720	2005	-1	0	1	1
10124144	720	2005	-1	0	1	1
10124145	720	2005	-1	0	1	1
10124146	720	2005	-1	0	1	1
10124147	720	2005	-1	0	1	1
10124148	720	2005	-1	0	1	1
10124149	720	2005	-1	0	1	1
10124150	720	2005	-1	0	1	1
10124151	720	2005	-1	0	1	1
10124152	72	2005	-1	0	1	1
10124153	168	2005	-1	0	1	1
10124154	720	2005	-1	0	1	1
10124155	2160	2005	-1	0	1	1
10124156	-1	2005	-1	0	1	1
10124157	168	2005	-1	0	1	1
10124158	240	2005	-1	0	1	1
10124159	240	2005	-1	0	1	1
10124160	240	2005	-1	0	1	1
10124161	168	2005	-1	0	1	1
10124162	720	2005	-1	0	1	1
10124163	2160	2005	-1	0	1	1
10124164	-1	2005	-1	0	1	1
10124165	24	2005	-1	0	1	1
10124166	24	2005	-1	0	1	1
10124167	24	2005	-1	0	1	1
10124168	24	2005	-1	0	1	1
10124169	24	2005	-1	0	1	1
10124170	24	2005	-1	0	1	1
10124171	24	2005	-1	0	1	1
10124172	72	2005	-1	0	1	1
10124173	720	2005	-1	0	1	1
10124174	2160	2005	-1	0	1	1
10124175	-1	2005	-1	0	1	1
10124176	720	2005	-1	0	1	1
10124177	2160	2005	-1	0	1	1
10124178	-1	2005	-1	0	1	1
10124179	72	2005	-1	0	1	1
10124180	720	2005	-1	0	1	1
10124181	336	2005	-1	0	1	1
10124182	336	2005	-1	0	1	1
10124185	72	2005	-1	0	1	1
10124187	168	2005	-1	0	1	1
10124188	720	2005	-1	0	1	1
10124189	2160	2005	-1	0	1	1
10124190	-1	2005	-1	0	1	1
10124192	168	2005	-1	0	1	1
10124193	168	2005	-1	0	1	1
10124194	720	2005	-1	0	1	1
10124195	2160	2005	-1	0	1	1
10124196	-1	2005	-1	0	1	1
10124197	72	2005	-1	0	1	1
10124198	-1	2005	-1	0	1	1
10124199	-1	2005	-1	0	1	1
10124200	-1	2005	-1	0	1	1
10124201	-1	2005	-1	0	1	0
10124207	720	2005	-1	0	1	1
10124208	2160	2005	-1	0	1	1
10124209	-1	2005	-1	0	1	1
10124210	168	2005	-1	0	1	1
10124211	168	2005	-1	0	1	1
10124212	168	2005	-1	0	1	1
10124213	168	2005	-1	0	1	1
10124214	168	2005	-1	0	1	1
10124215	720	2005	-1	0	1	1
10124216	720	2005	-1	0	1	1
10124217	72	2005	-1	0	1	1
10124218	72	2005	-1	0	1	1
10124219	72	2005	-1	0	1	1
10124220	72	2005	-1	0	1	1
10124221	72	2005	-1	0	1	1
10124222	72	2005	-1	0	1	1
10124223	72	2005	-1	0	1	1
10124224	72	2005	-1	0	1	1
10124225	72	2005	-1	0	1	1
10124226	72	2005	-1	0	1	1
10124227	72	2005	-1	0	1	1
10124228	72	2005	-1	0	1	1
10124229	360	2005	-1	0	1	1
10124230	360	2005	-1	0	1	1
10124231	360	2005	-1	0	1	1
10124232	720	2005	-1	0	1	1
10124233	2160	2005	-1	0	1	1
10124234	-1	2005	-1	0	1	1
10124235	24	2005	-1	0	1	1
10124236	168	2005	-1	0	1	1
10124237	720	2005	-1	0	1	1
10124238	2160	2005	-1	0	1	1
10124239	-1	2005	-1	0	1	1
10124240	360	2005	-1	0	1	1
10124241	720	2005	-1	0	1	1
10124242	360	2005	-1	0	1	1
10124243	720	2005	-1	0	1	1
10124244	360	2005	-1	0	1	1
10124245	720	2005	-1	0	1	1
10124246	72	2005	-1	0	1	1
10124247	168	2005	-1	0	1	1
10124248	168	2005	-1	0	1	1
10124249	720	2005	-1	0	1	1
10124250	720	2005	-1	0	1	1
10124251	24	2005	-1	0	1	1
10124252	168	2005	-1	0	1	1
10124253	24	2005	-1	0	1	1
10124254	24	2005	-1	0	1	1
10124255	24	2005	-1	0	1	1
10124256	168	2005	-1	0	1	1
10124257	24	2005	-1	0	1	1
10124258	24	2005	-1	0	1	1
10124259	24	2005	-1	0	1	1
10124260	24	2005	-1	0	1	1
10124261	24	2005	-1	0	1	1
10124262	24	2005	-1	0	1	1
10124263	24	2005	-1	0	1	1
10124264	24	2005	-1	0	1	1
10124265	24	2005	-1	0	1	1
10124266	24	2005	-1	0	1	1
10124267	24	2005	-1	0	1	1
10124268	720	2005	-1	0	1	1
10124269	2160	2005	-1	0	1	1
10124270	-1	2005	-1	0	1	1
10124271	720	2005	-1	0	1	1
10124272	2160	2005	-1	0	1	1
10124273	-1	2005	-1	0	1	1
10124274	720	2005	-1	0	1	1
10124275	2160	2005	-1	0	1	1
10124276	-1	2005	-1	0	1	1
10124277	720	2005	-1	0	1	1
10124278	2160	2005	-1	0	1	1
10124279	-1	2005	-1	0	1	1
10124280	720	2005	-1	0	1	1
10124281	2160	2005	-1	0	1	1
10124282	-1	2005	-1	0	1	1
10124283	720	2005	-1	0	1	1
10124284	2160	2005	-1	0	1	1
10124285	-1	2005	-1	0	1	1
10124286	360	2005	-1	0	1	1
10124287	168	2005	-1	0	1	1
10124288	720	2005	-1	0	1	1
10124289	2160	2005	-1	0	1	1
10124290	-1	2005	-1	0	1	1
10124291	168	2005	-1	0	1	1
10124292	720	2005	-1	0	1	1
10124293	2160	2005	-1	0	1	1
10124294	-1	2005	-1	0	1	1
10124295	360	2005	-1	0	1	1
10124296	720	2005	-1	0	1	1
10124297	720	2005	-1	0	1	1
10124298	72	2005	-1	0	1	1
10124299	72	2005	-1	0	1	1
10124300	168	2005	-1	0	1	1
10124301	168	2005	-1	0	1	1
10124302	720	2005	-1	0	1	1
10124303	720	2005	-1	0	1	1
10124304	2160	2005	-1	0	1	1
10124305	-1	2005	-1	0	1	1
10124306	2160	2005	-1	0	1	1
10124307	2160	2005	-1	0	1	1
10124308	168	2005	-1	0	1	1
10124309	168	2005	-1	0	1	1
10124310	720	2005	-1	0	1	1
10124311	2160	2005	-1	0	1	1
10124312	-1	2005	-1	0	1	1
10124313	168	2005	-1	0	1	1
10124314	168	2005	-1	0	1	1
10124315	720	2005	-1	0	1	1
10124316	2160	2005	-1	0	1	1
10124317	-1	2005	-1	0	1	1
10124318	-1	2005	-1	0	1	1
10124319	720	2005	-1	0	1	1
10124320	720	2005	-1	0	1	1
10124321	720	2005	-1	0	1	1
10124322	-1	2005	-1	0	1	0
10124323	-1	2005	-1	0	1	0
10124324	-1	2005	-1	0	1	0
10124325	-1	2005	-1	0	1	0
10124326	-1	2005	-1	0	1	0
10124327	-1	2005	-1	0	1	0
10124328	-1	2005	-1	0	1	0
10124329	-1	2005	-1	0	1	0
10124330	-1	2005	-1	0	1	0
10124331	-1	2005	-1	0	1	0
10124332	168	2005	-1	0	1	1
10124333	720	2005	-1	0	1	1
10124334	2160	2005	-1	0	1	1
10124335	-1	2005	-1	0	1	1
10124336	168	2005	-1	0	1	1
10124337	168	2005	-1	0	1	1
10124338	360	2005	-1	0	1	1
10124339	720	2005	-1	0	1	1
10124340	720	2005	-1	0	1	1
10124341	720	2005	-1	0	1	1
10124342	720	2005	-1	0	1	1
10124343	168	2005	-1	0	1	1
10124344	720	2005	-1	0	1	1
10124345	2160	2005	-1	0	1	1
10124346	-1	2005	-1	0	1	1
10124347	168	2005	-1	0	1	1
10124348	720	2005	-1	0	1	1
10124349	2160	2005	-1	0	1	1
10124350	-1	2005	-1	0	1	1
10124351	168	2005	-1	0	1	1
10124352	720	2005	-1	0	1	1
10124353	2160	2005	-1	0	1	1
10124354	168	2005	-1	0	1	1
10124355	720	2005	-1	0	1	1
10124356	2160	2005	-1	0	1	1
10124357	-1	2005	-1	0	1	1
10124358	-1	2005	-1	0	1	1
10124359	-1	2005	-1	0	1	1
10124360	168	2005	-1	0	1	1
10124361	720	2005	-1	0	1	1
10124362	2160	2005	-1	0	1	1
10124363	168	2005	-1	0	1	1
10124364	720	2005	-1	0	1	1
10124365	2160	2005	-1	0	1	1
10124366	720	2005	-1	0	1	1
10124367	720	2005	-1	0	1	1
10124368	720	2005	-1	0	1	1
10124369	720	2005	-1	0	1	1
10124370	72	2005	-1	0	1	1
10124371	168	2005	-1	0	1	1
10124372	360	2005	-1	0	1	1
10124373	72	2005	-1	0	1	1
10124374	168	2005	-1	0	1	1
10124375	360	2005	-1	0	1	1
10124376	168	2005	-1	0	1	1
10124377	720	2005	-1	0	1	1
10124378	2160	2005	-1	0	1	1
10124379	-1	2005	-1	0	1	1
10124380	72	2005	-1	0	1	1
10124381	72	2005	-1	0	1	1
10124382	72	2005	-1	0	1	1
10124383	72	2005	-1	0	1	1
10124384	72	2005	-1	0	1	1
10124385	72	2005	-1	0	1	1
10124386	72	2005	-1	0	1	1
10124387	72	2005	-1	0	1	1
10124388	72	2005	-1	0	1	1
10124389	72	2005	-1	0	1	1
10124390	72	2005	-1	0	1	1
10124391	72	2005	-1	0	1	1
10124392	168	2005	-1	0	1	1
10124393	336	2005	-1	0	1	1
10124394	72	2005	-1	0	1	1
10124395	168	2005	-1	0	1	1
10124396	720	2005	-1	0	1	1
10124397	2160	2005	-1	0	1	1
10124398	-1	2005	-1	0	1	1
10124399	168	2005	-1	0	1	1
10124400	-1	2005	-1	0	1	1
10124401	2160	2005	-1	0	1	1
10124402	4320	2005	-1	0	1	1
10124403	-1	2005	-1	0	1	1
10124404	-1	2005	-1	0	1	1
10124405	-1	2005	-1	0	1	1
10124406	168	2005	-1	0	1	1
10124407	-1	2005	-1	0	1	1
10124408	-1	2005	-1	0	1	1
10124409	168	2005	-1	0	1	1
10124410	720	2005	-1	0	1	1
10124411	2160	2005	-1	0	1	1
10124412	-1	2005	-1	0	1	1
10124413	720	2005	-1	0	1	1
10124414	720	2005	-1	0	1	1
10124415	24	2005	-1	0	1	1
10124416	24	2005	-1	0	1	1
10124417	24	2005	-1	0	1	1
10124418	72	2005	-1	0	1	1
10124419	720	2005	-1	0	1	1
10124420	720	2005	-1	0	1	1
10124421	720	2005	-1	0	1	1
10124422	168	2005	-1	0	1	1
10124423	720	2005	-1	0	1	1
10124424	720	2005	-1	0	1	1
10124425	720	2005	-1	0	1	1
10124426	720	2005	-1	0	1	1
10124427	720	2005	-1	0	1	1
10124428	720	2005	-1	0	1	1
10124429	720	2005	-1	0	1	1
10124430	-1	2005	-1	0	1	1
10124431	-1	2005	-1	0	1	1
10124432	-1	2005	-1	0	1	1
10124433	-1	2005	-1	0	1	1
10124434	-1	2005	-1	0	1	1
10124435	-1	2005	-1	0	1	1
10124436	24	2005	-1	0	1	1
10124437	24	2005	-1	0	1	1
10124438	24	2005	-1	0	1	1
10124439	24	2005	-1	0	1	1
10124440	24	2005	-1	0	1	1
10124441	24	2005	-1	0	1	1
10124442	24	2005	-1	0	1	1
10124443	24	2005	-1	0	1	1
10124444	24	2005	-1	0	1	1
10124445	24	2005	-1	0	1	1
10124446	24	2005	-1	0	1	1
10124447	72	2005	-1	0	1	1
10124448	168	2005	-1	0	1	1
10124449	720	2005	-1	0	1	1
10124450	2160	2005	-1	0	1	1
10124451	-1	2005	-1	0	1	1
10124452	24	2005	-1	0	1	1
10124453	168	2005	-1	0	1	1
10124454	720	2005	-1	0	1	1
10124455	2160	2005	-1	0	1	1
10124456	-1	2005	-1	0	1	1
10124457	72	2005	-1	0	1	1
10124458	168	2005	-1	0	1	1
10124459	360	2005	-1	0	1	1
10124460	720	2005	-1	0	1	1
10124461	2160	2005	-1	0	1	1
10124462	-1	2005	-1	0	1	1
10124463	72	2005	-1	0	1	1
10124464	168	2005	-1	0	1	1
10124465	360	2005	-1	0	1	1
10124466	720	2005	-1	0	1	1
10124467	2160	2005	-1	0	1	1
10124468	-1	2005	-1	0	1	1
10124469	168	2005	-1	0	1	1
10124470	720	2005	-1	0	1	1
10124471	2160	2005	-1	0	1	1
10124472	-1	2005	-1	0	1	1
10124473	720	2005	-1	0	1	1
10124474	720	2005	-1	0	1	1
10124475	-1	2005	-1	0	1	1
10124476	-1	2005	-1	0	1	0
10124477	-1	2005	-1	0	1	0
10124478	720	2005	-1	0	1	0
10124479	-1	2005	-1	0	1	0
10124480	168	2005	-1	0	1	1
10124481	-1	2005	-1	0	1	1
10124482	168	2005	-1	0	1	1
10124483	720	2005	-1	0	1	1
10124484	2160	2005	-1	0	1	1
10124485	-1	2005	-1	0	1	1
10124486	168	2005	-1	0	1	1
10124487	168	2005	-1	0	1	1
10124488	168	2005	-1	0	1	1
10124489	168	2005	-1	0	1	1
10124490	168	2005	-1	0	1	1
10124491	720	2005	-1	0	1	1
10124492	2160	2005	-1	0	1	1
10124493	-1	2005	-1	0	1	1
10124494	24	2005	-1	0	1	1
10124495	24	2005	-1	0	1	1
10124496	168	2005	-1	0	1	1
10124497	168	2005	-1	0	1	1
10124498	168	2005	-1	0	1	1
10124499	168	2005	-1	0	1	1
10124500	168	2005	-1	0	1	1
10124501	168	2005	-1	0	1	1
10124502	168	2005	-1	0	1	1
10124503	168	2005	-1	0	1	1
10124504	24	2005	-1	0	1	1
10124505	72	2005	-1	0	1	1
10124506	168	2005	-1	0	1	1
10124507	720	2005	-1	0	1	1
10124508	2160	2005	-1	0	1	1
10124509	4320	2005	-1	0	1	1
10124510	-1	2005	-1	0	1	1
10124511	168	2005	-1	0	1	1
10124512	168	2005	-1	0	1	1
10124513	24	2005	-1	0	1	1
10124514	72	2005	-1	0	1	1
10124515	24	2005	-1	0	1	1
10124516	720	2005	-1	0	1	1
10124517	72	2005	-1	0	1	1
10124518	168	2005	-1	0	1	0
10124519	720	2005	-1	0	1	0
10124520	2160	2005	-1	0	1	0
10124521	-1	2005	-1	0	1	0
10124522	72	2005	-1	0	1	1
10124523	72	2005	-1	0	1	1
10124524	72	2005	-1	0	1	1
10124525	168	2005	-1	0	1	1
10124526	-1	2005	-1	0	1	1
10124527	24	2005	-1	0	1	1
10124528	72	2005	-1	0	1	1
10124529	168	2005	-1	0	1	1
10124530	-1	2005	-1	0	1	1
10124531	-1	2005	-1	0	1	0
10124532	168	2005	-1	0	1	0
10124533	720	2005	-1	0	1	0
10124534	2160	2005	-1	0	1	0
10124535	72	2005	-1	0	1	1
10124536	72	2005	-1	0	1	1
10124537	168	2005	-1	0	1	1
10124538	720	2005	-1	0	1	1
10124539	168	2005	-1	0	1	1
10124540	720	2005	-1	0	1	1
10124541	2160	2005	-1	0	1	1
10124542	-1	2005	-1	0	1	1
10124543	168	2005	-1	0	1	1
10124544	720	2005	-1	0	1	1
10124545	2160	2005	-1	0	1	1
10124546	-1	2005	-1	0	1	1
10124547	720	2005	-1	0	1	1
10124548	72	2005	-1	0	1	1
10124549	72	2005	-1	0	1	1
10124550	72	2005	-1	0	1	1
10124551	24	2005	-1	0	1	1
10124552	72	2005	-1	0	1	1
10124553	168	2005	-1	0	1	1
10124554	720	2005	-1	0	1	1
10124555	2160	2005	-1	0	1	1
10124556	4320	2005	-1	0	1	1
10124557	-1	2005	-1	0	1	1
10124558	-1	2005	-1	0	1	1
10124559	720	2005	-1	0	1	1
10124560	2160	2005	-1	0	1	1
10124561	720	2005	-1	0	1	1
10124562	72	2005	-1	0	1	1
10124563	168	2005	-1	0	1	1
10124564	360	2005	-1	0	1	1
10124565	-1	2005	-1	0	1	1
10124566	-1	2005	-1	0	1	1
10124567	-1	2005	-1	0	1	1
10124568	-1	2005	-1	0	1	1
10124569	168	2005	-1	0	1	1
10124570	720	2005	-1	0	1	1
10124571	72	2005	-1	0	1	1
10124572	72	2005	-1	0	1	1
10124573	72	2005	-1	0	1	1
10124574	72	2005	-1	0	1	1
10124575	72	2005	-1	0	1	1
10124576	72	2005	-1	0	1	1
10124577	72	2005	-1	0	1	1
10124578	72	2005	-1	0	1	1
10124579	72	2005	-1	0	1	1
10124580	168	2005	-1	0	1	1
10124581	720	2005	-1	0	1	1
10124582	2160	2005	-1	0	1	1
10124583	-1	2005	-1	0	1	1
10124584	168	2005	-1	0	1	1
10124585	360	2005	-1	0	1	1
10124586	720	2005	-1	0	1	1
10124587	2160	2005	-1	0	1	1
10124588	168	2005	-1	0	1	1
10124589	720	2005	-1	0	1	1
10124590	2160	2005	-1	0	1	1
10124591	-1	2005	-1	0	1	1
10124592	720	2005	-1	0	1	1
10124593	720	2005	-1	0	1	1
10124594	720	2005	-1	0	1	1
10124597	168	2005	-1	0	1	1
10124598	720	2005	-1	0	1	1
10124599	2160	2005	-1	0	1	1
10124600	-1	2005	-1	0	1	1
10124601	720	2005	-1	0	1	1
10124606	-1	2005	-1	0	1	1
10124607	-1	2005	-1	0	1	1
10124612	168	2005	-1	0	1	1
10124618	2160	2005	-1	0	1	1
10126000	-1	2005	-1	0	1	1
10141000	-1	2005	-1	0	1	1
10141003	-1	2005	-1	0	1	0
10141021	-1	2005	-1	0	1	1
10141022	-1	2005	-1	0	1	1
10141023	-1	2005	-1	0	1	1
10141024	-1	2005	-1	0	1	1
10141025	-1	2005	-1	0	1	1
10141026	-1	2005	-1	0	1	1
10141027	-1	2005	-1	0	1	1
10141028	-1	2005	-1	0	1	1
10141029	-1	2005	-1	0	1	1
10141030	-1	2005	-1	0	1	1
10141031	-1	2005	-1	0	1	1
10141032	-1	2005	-1	0	1	1
10141033	-1	2005	-1	0	1	1
10141034	-1	2005	-1	0	1	1
10141035	-1	2005	-1	0	1	1
10141036	-1	2005	-1	0	1	1
10141037	-1	2005	-1	0	1	1
10141038	-1	2005	-1	0	1	1
10141039	-1	2005	-1	0	1	1
10141040	-1	2005	-1	0	1	1
10141041	2160	2005	-1	0	1	1
10141042	840	2005	-1	0	1	1
10141043	2160	2005	-1	0	1	1
10141044	2160	2005	-1	0	1	1
10141045	2160	2005	-1	0	1	1
10141046	2160	2005	-1	0	1	1
10141047	2160	2005	-1	0	1	1
10141048	2160	2005	-1	0	1	1
10141049	2160	2005	-1	0	1	1
10141050	-1	2005	-1	0	1	1
10141051	-1	2005	-1	0	1	1
10141052	-1	2005	-1	0	1	1
