INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
标识ID的分类ID	分类说明	本行中所有ID的类型(必须填)	本类中的ID数量	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25	ID26	ID27	ID28	ID29	ID30	结尾说明，测试用
28	天龙步法	0	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29	天南步法+天龙步法+非枯非荣	0	3	171	172	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30	天南步法+天龙步法	0	2	171	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
31	奈何心生	0	1	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32	奈何心死	0	1	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33	奈何心生+奈何心死	0	2	183	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
34	诛仙阵	3	1	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
35	抚琴式	0	1	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
36	运笔式	0	1	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37	抚琴式+运笔式	0	2	192	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
38	抚琴式+运笔式+江行初雪	0	3	192	196	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
39	围困	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
40	封穴	1	2	13	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
41	昏睡	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42	失明	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43	定身	1	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
44	散功	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45	僵硬	1	3	23	38	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
46	石化	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
47	麻痹	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
48	失明	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49	恐惧	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
50	缠绕	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
51	就擒	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
52	破绽	1	13	24	25	26	27	28	29	30	31	112	113	139	1516	1732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
53	虚弱	1	7	32	33	34	35	36	37	1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
54	强化	1	21	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	0	0	0	0	0	0	0	0	0		
55	增强	1	21	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	0	0	0	0	0	0	0	0	0		
56	少林攻击技能	3	7	0	281	282	283	291	295	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
57	丐帮攻击技能	3	9	0	341	342	343	347	351	355	358	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
58	武当攻击技能	3	9	0	371	372	373	377	385	388	391	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
59	大理攻击技能	3	13	0	461	462	463	465	467	469	471	475	478	481	487	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
60	控制	1	12	11	12	13	14	15	16	17	18	19	20	21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
61	隐身	0	5	99	176	177	180	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
62	峨嵋攻击技能	3	7	401	403	404	415	418	421	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
63	漕运免疫（隐身、骑乘）	1	2	99	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
64	漕运禁用技能(乘骑，隐身，回城)	3	5	21	22	248	496	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
65	引爆陷阱类型	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
66	乘骑	1	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
67	门派攻击技能1	3	30	281	283	291	295	298	311	313	321	325	328	341	343	351	355	358	371	373	381	385	388	401	403	411	415	418	431	433	441	445	448		
68	门派攻击技能2	3	28	461	463	471	475	478	491	493	501	505	508	521	523	531	535	538	347	377	404	437	450	507	361	391	421	451	481	511	541	0	0		
69	引导类技能	3	14	53	59	60	61	62	373	378	404	432	437	443	462	700	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
70	普通攻击和连续技	3	11	0	281	311	341	371	401	431	461	491	521	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
71	火烧赤壁	3	1	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
72	封印	1	2	136	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
73	蛟龙乱舞	3	1	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
74	蜃龙乱舞	3	1	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
75	开箱免疫	1	15	96	99	131	150	176	177	180	214	276	334	372	373	374	375	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
76	开膛	1	1	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
77	噬血	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
78	兽毒	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
79	失魂	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
80	中毒	1	2	2	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
81	灼烧	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
82	失血	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
83	治疗技能	3	4	245	407	423	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
84	影遁	3	1	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
85	剑舞内功	1	1	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
86	剑舞外功	1	1	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
87	圣火传递乌龟免疫	0	5	634	636	637	638	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
88	嘲讽之外的控制	1	14	11	13	14	15	17	18	19	20	21	22	23	136	269	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
89	减血气上限	1	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
90	嘲讽技能	3	3	287	304	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
91	剑舞(紫)	1	1	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
92	剑舞(红)	1	1	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
93	剑舞(白)	1	1	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
94	剑舞(黄)	1	1	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
95	剑舞(蓝)	1	1	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
96	剑舞(绿)	1	1	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
97	峨眉冲虚养气	3	1	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
98	峨眉冲虚养气+清心	3	3	407	424	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
99	变身集合	1	1	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
100	伤害放大技能	3	3	402	467	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
101	天地明灭+烽火连城	3	2	334	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
102	珍兽连击技能	3	2	726	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
103	珍兽猛击技能	3	11	722	723	1260	1261	1262	1263	1264	1265	1266	1267	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
104	珍兽痛击技能	3	11	728	729	1251	1252	1253	1254	1255	1256	1257	1258	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
105	珍兽属性攻击技能1	3	22	702	703	704	705	1269	1270	1271	1272	1273	1274	1275	1276	1277	1278	1279	1280	1281	1282	1283	1284	1285	1286	0	0	0	0	0	0	0	0		
106	珍兽属性攻击技能2	3	18	1287	1288	1289	1290	1291	1292	1293	1294	1295	1296	1297	1298	1299	1300	1301	1302	1303	1304	0	0	0	0	0	0	0	0	0	0	0	0		
107	灵动	3	2	712	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
108	灵气	3	2	720	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
109	忠心	3	2	718	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
110	反震	3	2	710	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
111	反击	3	2	706	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
112	摔拌	3	2	734	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
113	破绽	3	2	732	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
114	虚弱	3	2	730	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
115	打怒	3	2	716	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
116	吸气	3	2	714	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
117	怒火连斩	3	12	0	242	243	244	274	311	312	313	319	321	325	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
118	被动隐身	0	3	176	180	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
119	引导加血	1	2	1505	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
120	怒火连斩	8	1	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
121	十大门派的第一本心法第一个技能	3	10	281	311	341	371	401	431	461	491	521	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
122	十大门派的第二本心法第一个技能	3	10	283	313	343	373	403	433	463	493	523	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
123	十大门派的第四本心法第三个技能	3	10	292	322	352	382	412	442	472	502	532	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
124	十大门派的第五本心法第二个技能	3	10	295	325	355	385	415	445	475	505	535	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
125	十大门派的第五本心法第三个技能	3	10	296	326	356	386	416	446	476	506	536	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
126	十大门派的第六本心法第一个技能	3	10	298	328	358	388	418	448	478	508	538	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
127	慕容姿态技能集合	1	1	1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
128	心剑交融BUFF借力	1	1	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
129	蓄云欲雨BUFF集合	1	6	1531	1532	1533	1534	1535	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
130	蓄气（围困）	1	1	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
131	蓄气（封穴）	1	1	1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
132	蓄气（昏睡）	1	1	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
133	蓄气（失明）	1	1	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
134	蓄气（定身）	1	1	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
135	蓄气（散功）	1	1	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
136	慕容攻击技能（补集合67和68）	3	8	760	763	771	775	778	777	780	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
137	第八本心法的控制	1	10	1212	1213	1214	1215	1216	1217	1218	1219	1220	1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
138	非伤害类负面效果（综合88、89、137）	1	28	11	13	14	15	17	18	19	20	21	22	23	32	136	233	269	382	1212	1213	1214	1215	1216	1217	1218	1219	1220	1221	49	55	0	0		
139	拈花寺僧冷却技能集合	3	3	1077	1078	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
140	测试用拈花寺僧技能集合1	3	5	0	243	245	248	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
141	测试用拈花寺僧技能集合2	3	3	401	407	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
142	飞行部件	1	1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
143	嘲讽变身之外的控制	1	13	11	13	14	15	17	18	19	20	21	22	23	136	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
144	拈花寺僧新加技能	3	5	1080	1077	1078	1081	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
145	拈花寺僧允许使用的技能	3	12	0	23	24	25	26	27	28	29	30	31	34	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
146	庄聚贤免疫冰蚕的攻击	1	2	1660	1662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
147	慕容博攻击技能	3	15	938	939	940	941	942	943	944	945	946	948	949	950	951	952	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
148	落马箭驱散集合	1	2	99	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
149	召唤坐骑技能	3	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
150	画龙点睛活动技能	3	2	147	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
151	拈花寺僧移动速度加成集合	0	1	1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
152	放大伤害的互斥ID	1	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
153	帮会生产移动速度加成集合	0	1	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
154	搬运工技能	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
155	采集工技能	3	2	1767	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
156	收集工技能	3	2	1768	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
157	挖掘工技能	3	2	1769	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
158	剧情本慕容博萧远山免疫减血上限	1	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
159	逍遥放大效果	0	1	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
160	非敌对目标传送技能（技能上的）	3	9	269	270	271	272	273	379	503	515	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
161	变身飞禽后新增加的技能（许愿树的烦恼）	3	2	154	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
162	循环采集烹饪技能	3	1	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
163	循环捕鱼技能	3	6	1773	1774	1775	1776	1777	1778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
164	QTE制药技能	3	4	1779	1780	1781	1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
165	元素精粹打造变身技能	3	6	1783	1784	1785	1786	1787	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
167	秘境矿师变身技能	3	1	1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
168	秘境矿师采矿	9	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
169	少林QTE	3	5	2201	2203	2205	2202	2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
170	明教QTE	3	5	2206	2210	2208	2207	2209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
171	丐帮QTE	3	4	2211	2212	2213	2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
172	武当QTE	3	4	2215	2216	2217	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
173	峨眉QTE	3	4	2219	2220	2221	2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
174	星宿QTE	3	5	2223	2224	2225	2226	2227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
175	天龙QTE	3	5	2229	2228	2232	2231	2230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
