INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3180	¿ng Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM216,270,112,-1}#W"	36	0	0	0	500	357							500	357
3181	¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,270,112,-1}#W"	6	0	0	0	0	0							0	0
3182	¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,270,112,-1}#W"	6	0	0	0	0	0							0	0
3183	¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,270,112,-1}#W"	6	0	0	0	0	0							0	0
3184	¿ng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,270,112,-1}#W"	6	0	0	0	0	0							0	0
3189	¿ng Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM216,270,112,-1}#W"	250	0	0	0	0	0							0	0
3190	Ðà Ði¬u Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM181,268,112,-1}#W"	36	0	0	0	500	357							500	357
3191	Ðà Ði¬u Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM181,268,112,-1}#W"	2	0	0	0	0	0							0	0
3192	Ðà Ði¬u Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM181,268,112,-1}#W"	2	0	0	0	0	0							0	0
3193	Ðà Ði¬u Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM181,268,112,-1}#W"	2	0	0	0	0	0							0	0
3194	Ðà Ði¬u Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM181,268,112,-1}#W"	2	0	0	0	0	0							0	0
3199	Ðà Ði¬u Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM181,268,112,-1}#W"	250	0	0	0	0	0							0	0
3200	Báo Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM250,236,112,-1}#W"	36	0	0	0	500	357							500	357
3201	Báo Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM250,236,112,-1}#W"	2	0	0	0	0	0							0	0
3202	Báo Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM250,236,112,-1}#W"	2	0	0	0	0	0							0	0
3203	Báo Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM250,236,112,-1}#W"	2	0	0	0	0	0							0	0
3204	Báo Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM250,236,112,-1}#W"	2	0	0	0	0	0							0	0
3209	Báo Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM250,236,112,-1}#W"	250	0	0	0	0	0							0	0
3210	B¡c Cñc Hùng Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	68	0	0	0	0	357							0	357
3211	B¡c Cñc Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	20	0	0	0	0	0							0	0
3212	B¡c Cñc Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	20	0	0	0	0	0							0	0
3213	B¡c Cñc Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	20	0	0	0	0	0							0	0
3214	B¡c Cñc Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	20	0	0	0	0	0							0	0
3215	B¡c Cñc Hùng Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	20	0	0	0	0	0							0	0
3219	B¡c Cñc Hùng Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM216,223,112,-1}#W"	250	0	0	0	0	0							0	0
3220	Kh±ng Tß¾c Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	34	0	0	0	0	357							0	357
3221	Kh±ng Tß¾c Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	36	0	0	0	0	0							0	0
3222	Kh±ng Tß¾c Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	10	0	0	0	0	0							0	0
3223	Kh±ng Tß¾c Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	10	0	0	0	0	0							0	0
3224	Kh±ng Tß¾c Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	10	0	0	0	0	0							0	0
3225	Kh±ng Tß¾c Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	10	0	0	0	0	0							0	0
3229	Kh±ng Tß¾c Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM263,166,112,-1}#W"	250	0	0	0	0	0							0	0
3230	Kiªm Xï H± Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	34	0	0	0	0	357							0	357
3231	Kiªm Xï H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	2	0	0	0	0	0							0	0
3232	Kiªm Xï H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	2	0	0	0	0	0							0	0
3233	Kiªm Xï H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	2	0	0	0	0	0							0	0
3234	Kiªm Xï H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	2	0	0	0	0	0							0	0
3235	Kiªm Xï H± Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	2	0	0	0	0	0							0	0
3239	Kiªm Xï H± Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM285,149,112,-1}#W"	100	0	0	0	0	0							0	0
3240	Tinh Tinh Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	34	0	0	0	0	357							0	357
3241	Tinh Tinh Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	2	0	0	0	0	0							0	0
3242	Tinh Tinh Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	2	0	0	0	0	0							0	0
3243	Tinh Tinh Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	2	0	0	0	0	0							0	0
3244	Tinh Tinh Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	2	0	0	0	0	0							0	0
3245	Tinh Tinh Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	2	0	0	0	0	0							0	0
3249	Tinh Tinh Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM276,121,112,-1}#W"	2	0	0	0	0	0							0	0
3250	Tê Ngßu Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	68	0	0	0	0	357							0	357
3251	Tê Ngßu Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	16	0	0	0	0	0							0	0
3252	Tê Ngßu Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	16	0	0	0	0	0							0	0
3253	Tê Ngßu Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	16	0	0	0	0	0							0	0
3254	Tê Ngßu Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	16	0	0	0	0	0							0	0
3255	Tê Ngßu Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	16	0	0	0	0	0							0	0
3256	Tê Ngßu Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	16	0	0	0	0	0							0	0
3259	Tê Ngßu Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM227,92,112,-1}#W"	250	0	0	0	0	0							0	0
3260	Tuyªt Ðiêu Trß·ng Thành	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	34	0	0	0	0	357							0	357
3261	Tuyªt Ðiêu Biªn D¸	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	8	0	0	0	0	0							0	0
3262	Tuyªt Ðiêu Biªn D¸	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	8	0	0	0	0	0							0	0
3263	Tuyªt Ðiêu Biªn D¸	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	8	0	0	0	0	0							0	0
3264	Tuyªt Ðiêu Biªn D¸	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	8	0	0	0	0	0							0	0
3265	Tuyªt Ðiêu Biªn D¸	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	8	0	0	0	0	0							0	0
3266	Tuyªt Ðiêu Biªn D¸	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	8	0	0	0	0	0							0	0
3269	Tuyªt Ðiêu Bäo Bäo	"#B Thánh Thú S½n #{_INFOAIM190,230,201,-1}#W"	100	0	0	0	0	0							0	0
3270	Long Kiªm Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	68	0	0	0	0	357							0	357
3271	Long Kiªm Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	16	0	0	0	0	0							0	0
3272	Long Kiªm Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	16	0	0	0	0	0							0	0
3273	Long Kiªm Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	16	0	0	0	0	0							0	0
3274	Long Kiªm Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	16	0	0	0	0	0							0	0
3275	Long Kiªm Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	16	0	0	0	0	0							0	0
3276	Long Kiªm Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	16	0	0	0	0	0							0	0
3279	Long Kiªm Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM275,85,112,-1}#W"	250	0	0	0	0	0							0	0
3280	Bác Mã Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	68	0	0	0	0	357							0	357
3281	Bác Mã Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	16	0	0	0	0	0							0	0
3282	Bác Mã Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	16	0	0	0	0	0							0	0
3283	Bác Mã Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	16	0	0	0	0	0							0	0
3284	Bác Mã Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	16	0	0	0	0	0							0	0
3285	Bác Mã Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	16	0	0	0	0	0							0	0
3286	Bác Mã Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	16	0	0	0	0	0							0	0
3289	Bác Mã Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM247,98,112,-1}#W"	250	0	0	0	0	0							0	0
3290	Hoàng Ði¬u Trß·ng Thành		0	0	0	0	0	0							0	0
3291	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3292	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3293	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3294	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3295	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3296	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3297	Hoàng Ði¬u Biªn D¸		0	0	0	0	0	0							0	0
3299	Hoàng Ði¬u Bäo Bäo		0	0	0	0	0	0							0	0
3300	Niên Thú Trß·ng Thành		0	0	0	0	0	0							0	0
3301	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3302	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3303	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3304	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3305	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3306	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3307	Niên Thú Biªn D¸		0	0	0	0	0	0							0	0
3309	Niên Thú Bäo Bäo		0	0	0	0	0	0							0	0
3310	Long Quy Trß·ng Thành		0	0	0	0	0	0							0	0
3311	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3312	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3313	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3314	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3315	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3316	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3317	Long Quy Biªn D¸		0	0	0	0	0	0							0	0
3319	Long Quy Bäo Bäo		0	0	0	0	0	0							0	0
3320	Anh Chiêu Trß·ng Thành		0	0	0	0	0	0							0	0
3321	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3322	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3323	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3324	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3325	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3326	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3327	Anh Chiêu Biªn D¸		0	0	0	0	0	0							0	0
3329	Anh Chiêu Bäo Bäo		0	0	0	0	0	0							0	0
3330	KÏ Lân Trß·ng Thành		0	0	0	0	0	0							0	0
3331	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3332	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3333	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3334	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3335	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3336	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3337	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3338	KÏ Lân Biªn D¸		0	0	0	0	0	0							0	0
3339	KÏ Lân Bäo Bäo		0	0	0	0	0	0							0	0
3340	Giao Long Trß·ng Thành		0	0	0	0	0	0							0	0
3341	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3342	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3343	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3344	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3345	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3346	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3347	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3348	Giao Long Biªn D¸		0	0	0	0	0	0							0	0
3349	Giao Long Bäo Bäo		0	0	0	0	0	0							0	0
3350	Sài Miêu Trß·ng Thành		0	0	0	0	0	0							0	0
3351	Sài Miêu Biªn D¸		0	0	0	0	0	0							0	0
3352	Sài Miêu Biªn D¸		0	0	0	0	0	0							0	0
3359	Sài Miêu Bäo Bäo		0	0	0	0	0	0							0	0
3360	Kê Trß·ng Thành		0	0	0	0	0	0							0	0
3361	Kê Biªn D¸		0	0	0	0	0	0							0	0
3362	Kê Biªn D¸		0	0	0	0	0	0							0	0
3369	Kê Bäo Bäo		0	0	0	0	0	0							0	0
3370	Áp TØ Trß·ng Thành		0	0	0	0	0	0							0	0
3371	Áp TØ Biªn D¸		0	0	0	0	0	0							0	0
