INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
33	Tinh Th¥n Song Kiªm Ð° Tß¶ng 	10203013	1	4	3	20103003	35	20103063	20	20103097	21	20308033	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
34	Tam Tinh Nga Mi Thích Ð° Tß¶ng 	10203014	1	4	4	20103004	40	20103064	25	20103098	24	20308034	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
35	Xuân Thu Song Ðao Ð° Tß¶ng 	10203015	1	4	5	20103005	45	20103065	30	20103098	27	20308035	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
36	Thù Lßu Song Phü Ð° Tß¶ng 	10203016	1	4	6	20103006	50	20103066	35	20103098	33	20308036	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
37	Thu Thüy NhÕn Linh Song Ðao Ð° Tß¶ng 	10203017	1	4	7	20103007	55	20103067	40	20103099	48	20308037	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
38	Sß½ng Thiên Hi¬u Giác Ð° Tß¶ng 	10203018	1	4	8	20103008	60	20103068	45	20103099	52	20308038	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
39	Vân Truy Nguy®t Ð° Tß¶ng 	10203019	1	4	9	20103009	65	20103069	50	20103099	60	20308039	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
40	Thß½ng Long Ð° Tß¶ng 	10203020	1	4	10	20103010	70	20103070	55	20103099	64	20308040	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	4	3000	-1	-1	Ta ði«n r°i	7	-1
41	Nga Mao Phiªn Ð° Tß¶ng 	10204011	1	4	1	20103001	25	20103061	10	20103097	12	20308041	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
42	Th§p Tñ Miên Chúc Phiªn Ð° Tß¶ng 	10204012	1	4	2	20103002	30	20103062	15	20103097	15	20308042	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
43	BÕch Vû Phiªn Ð° Tß¶ng 	10204013	1	4	3	20103003	35	20103063	20	20103097	21	20308043	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
44	Thanh Tâm Phiªn Ð° Tß¶ng 	10204014	1	4	4	20103004	40	20103064	25	20103098	24	20308044	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
45	Thiªt C¯t Phiªn Ð° Tß¶ng 	10204015	1	4	5	20103005	45	20103065	30	20103098	27	20308045	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
46	Thüy Kính Phiªn Ð° Tß¶ng 	10204016	1	4	6	20103006	50	20103066	35	20103098	33	20308046	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
47	Ngû Höa Th¤t C¥m Phiªn Ð° Tß¶ng 	10204017	1	4	7	20103007	55	20103067	40	20103099	48	20308047	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
48	Phong Bãi Tông Lß Ð° Tß¶ng 	10204018	1	4	8	20103008	60	20103068	45	20103099	52	20308048	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
49	Ð¸nh Phong Ba Ð° Tß¶ng 	10204019	1	4	9	20103009	65	20103069	50	20103099	60	20308049	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
50	Phßþng S° Ð° Tß¶ng 	10204020	1	4	10	20103010	70	20103070	55	20103099	64	20308050	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	5	3000	-1	-1	Ta ði«n r°i	7	-1
51	BÕch Ngân Hoàn Ð° Tß¶ng 	10205011	1	4	1	20103001	25	20103061	10	20103097	12	20308051	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
52	Minh Nguy®t Hoàn Ð° Tß¶ng 	10205012	1	4	2	20103002	30	20103062	15	20103097	15	20308052	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
53	Ngû Hành Luân Ð° Tß¶ng 	10205013	1	4	3	20103003	35	20103063	20	20103097	21	20308053	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
54	Thiên Ð¸a Kim Quang Quy¬n Ð° Tß¶ng 	10205014	1	4	4	20103004	40	20103064	25	20103098	24	20308054	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
55	Nhiªp Tinh Hoàn Ð° Tß¶ng 	10205015	1	4	5	20103005	45	20103065	30	20103098	27	20308055	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
56	Thiên LÕc Hoàn Ð° Tß¶ng 	10205016	1	4	6	20103006	50	20103066	35	20103098	33	20308056	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
57	Càn Khôn Quy¬n Ð° Tß¶ng 	10205017	1	4	7	20103007	55	20103067	40	20103099	48	20308057	1	-1	-1	80	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
58	M®nh V§n Ð° Tß¶ng 	10205018	1	4	8	20103008	60	20103068	45	20103099	52	20308058	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
59	Thám Hoa Ð° Tß¶ng 	10205019	1	4	9	20103009	65	20103069	50	20103099	60	20308059	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
60	Träm Quan Ð° Tß¶ng 	10205020	1	4	10	20103010	70	20103070	55	20103099	64	20308060	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	1	6	3000	-1	-1	Ta ði«n r°i	7	-1
61	Thô B¯ Mão Ð° Tß¶ng 	10210002	1	5	1	20105001	28	20103073	12	20103100	24	20308061	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
62	Thanh B¯ MÕo Ð° Tß¶ng 	10210004	1	5	1	20105002	32	20103074	16	20103100	27	20308062	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
63	Giáng Ma MÕo Ð° Tß¶ng 	10210006	1	5	2	20105003	36	20103075	20	20103100	33	20308063	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
64	Nhuy­n Châu MÕo Ð° Tß¶ng 	10210008	1	5	3	20105004	40	20103076	24	20103101	36	20308064	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
65	Ngân C¦m Quán Ð° Tß¶ng 	10210010	1	5	4	20105005	44	20103077	28	20103101	39	20308065	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
66	Nguyên Linh Quán Ð° Tß¶ng 	10210012	1	5	5	20105006	48	20103078	32	20103101	45	20308066	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
67	Th¤t Tinh Quán Ð° Tß¶ng 	10210014	1	5	6	20105007	52	20103079	36	20103102	64	20308067	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
68	Dçn Phøng MÕo Ð° Tß¶ng 	10210016	1	5	7	20105008	56	20103080	40	20103102	68	20308068	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
69	Mµc Thüy Thiên Quán Ð° Tß¶ng 	10210018	1	5	8	20105009	60	20103081	44	20103102	76	20308069	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
70	Huy«n Thª Thánh Cân Ð° Tß¶ng 	10210020	1	5	9	20105010	64	20103082	48	20103102	80	20308070	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	7	3000	-1	-1	Ta ði«n r°i	7	-1
71	Thô B¯ Hài Ð° Tß¶ng 	10211002	1	5	1	20105001	28	20103073	12	20103100	24	20308091	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
72	Thanh B¯ Hài Ð° Tß¶ng 	10211004	1	5	1	20105002	32	20103074	16	20103100	27	20308092	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
73	Giáng Ma Hài Ð° Tß¶ng 	10211006	1	5	2	20105003	36	20103075	20	20103100	33	20308093	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
74	Nhuy­n Châu Hài Ð° Tß¶ng 	10211008	1	5	3	20105004	40	20103076	24	20103101	36	20308094	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
75	Ngân C¦m Hài Ð° Tß¶ng 	10211010	1	5	4	20105005	44	20103077	28	20103101	39	20308095	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
76	Nguyên Linh Hài Ð° Tß¶ng 	10211012	1	5	5	20105006	48	20103078	32	20103101	45	20308096	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
77	Th¤t Tinh Hài Ð° Tß¶ng 	10211014	1	5	6	20105007	52	20103079	36	20103102	64	20308097	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
78	Dçn Phøng Hài Ð° Tß¶ng 	10211016	1	5	7	20105008	56	20103080	40	20103102	68	20308098	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
79	Mµc Thüy Thiên Ngoa Ð° Tß¶ng 	10211018	1	5	8	20105009	60	20103081	44	20103102	76	20308099	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
80	Huy«n Thª Quái Ngoa Ð° Tß¶ng 	10211020	1	5	9	20105010	64	20103082	48	20103102	80	20308100	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	10	3000	-1	-1	Ta ði«n r°i	7	-1
81	Thô B¯ Hµ Thü Ð° Tß¶ng 	10212002	1	5	1	20105001	28	20103073	12	20103100	24	20308081	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
82	Thanh B¯ Hµ Thü Ð° Tß¶ng 	10212004	1	5	1	20105002	32	20103074	16	20103100	27	20308082	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
83	Giáng Ma Hµ Thü Ð° Tß¶ng 	10212006	1	5	2	20105003	36	20103075	20	20103100	33	20308083	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
84	Nhuy­n Châu Hµ Thü Ð° Tß¶ng 	10212008	1	5	3	20105004	40	20103076	24	20103101	36	20308084	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
85	Ngân C¦m Hµ Thü Ð° Tß¶ng 	10212010	1	5	4	20105005	44	20103077	28	20103101	39	20308085	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
86	Nguyên Linh Hµ Thü Ð° Tß¶ng 	10212012	1	5	5	20105006	48	20103078	32	20103101	45	20308086	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
87	Th¤t Tinh Hµ Thü Ð° Tß¶ng 	10212014	1	5	6	20105007	52	20103079	36	20103102	64	20308087	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
88	Dçn Phøng Hµ Thü Ð° Tß¶ng 	10212016	1	5	7	20105008	56	20103080	40	20103102	68	20308088	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
89	Mµc Thüy Hµ Thü Ð° Tß¶ng 	10212018	1	5	8	20105009	60	20103081	44	20103102	76	20308089	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
90	Huy«n Thª Hµ Thü Ð° Tß¶ng 	10212020	1	5	9	20105010	64	20103082	48	20103102	80	20308090	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	9	3000	-1	-1	Ta ði«n r°i	7	-1
91	Thô B¯ Y Ð° Tß¶ng 	10213002	1	5	1	20105001	28	20103073	12	20103100	24	20308071	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
92	Thanh B¯ Y Ð° Tß¶ng 	10213004	1	5	1	20105002	32	20103074	16	20103100	27	20308072	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
93	Giáng Ma Y Ð° Tß¶ng 	10213006	1	5	2	20105003	36	20103075	20	20103100	33	20308073	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
94	Nhuy­n Châu Y Ð° Tß¶ng 	10213008	1	5	3	20105004	40	20103076	24	20103101	36	20308074	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
95	Ngân C¦m Y Ð° Tß¶ng 	10213010	1	5	4	20105005	44	20103077	28	20103101	39	20308075	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
96	Nguyên Linh Y Ð° Tß¶ng 	10213012	1	5	5	20105006	48	20103078	32	20103101	45	20308076	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
97	Th¤t Tinh C¦m Phøc Ð° Tß¶ng 	10213014	1	5	6	20105007	52	20103079	36	20103102	64	20308077	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
98	Dçn Phøng C¦m Y Ð° Tß¶ng 	10213016	1	5	7	20105008	56	20103080	40	20103102	68	20308078	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
99	Mµc Thüy Thiên Y Ð° Tß¶ng 	10213018	1	5	8	20105009	60	20103081	44	20103102	76	20308079	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
100	Huy«n Thª Ma Y Ð° Tß¶ng 	10213020	1	5	9	20105010	64	20103082	48	20103102	80	20308080	1	-1	-1	70	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	Ta ði«n r°i	7	-1
101	Thô B¯ Uy¬n Ð° Tß¶ng 	10214002	1	5	1	20105001	28	20103073	12	20103100	24	20308131	1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
102	Thanh B¯ Uy¬n Ð° Tß¶ng 	10214004	1	5	1	20105002	32	20103074	16	20103100	27	20308132	1	-1	-1	20	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
103	Giáng Ma Uy¬n Ð° Tß¶ng 	10214006	1	5	2	20105003	36	20103075	20	20103100	33	20308133	1	-1	-1	25	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
104	Nhuy­n Tr×u Uy¬n Ð° Tß¶ng 	10214008	1	5	3	20105004	40	20103076	24	20103101	36	20308134	1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
105	Ngân C¦m Uy¬n Ð° Tß¶ng 	10214010	1	5	4	20105005	44	20103077	28	20103101	39	20308135	1	-1	-1	40	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
106	Nguyên Linh Uy¬n Ð° Tß¶ng 	10214012	1	5	5	20105006	48	20103078	32	20103101	45	20308136	1	-1	-1	45	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
107	Th¤t Tinh Uy¬n Ð° Tß¶ng 	10214014	1	5	6	20105007	52	20103079	36	20103102	64	20308137	1	-1	-1	50	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
108	Dçn Phøng Uy¬n Ð° Tß¶ng 	10214016	1	5	7	20105008	56	20103080	40	20103102	68	20308138	1	-1	-1	60	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
109	Mµc Thüy Thiên Uy¬n Ð° Tß¶ng 	10214018	1	5	8	20105009	60	20103081	44	20103102	76	20308139	1	-1	-1	65	-1	-1	-1	-1	-1	-1	0	1	23	3000	-1	-1	Ta ði«n r°i	7	-1
