INT	INT	STRING	STRING	INT	INT	INT	STRING
51	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
52	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
53	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
54	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
55	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
56	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
57	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
58	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
59	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
60	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
61	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
62	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
63	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
64	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
65	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
66	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
67	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
68	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
69	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
70	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
71	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
72	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
73	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
74	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
75	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
76	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
77	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
78	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
79	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
80	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
81	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
82	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
83	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
84	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
85	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
86	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
87	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
88	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
89	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
90	1	 VÑt Bö 	VÑt Bö	0	0	-1	VÑt Bö
91	2	#G Phu Quân 	TÕi thiên nguy®n tác tï dñc ði¬u, tÕi ð¸a nguy®n tác liên lý chi	2	1	-1	Phu thê
92	2	#G Nß½ng TØ 	TÕi thiên nguy®n tác tï dñc ði¬u, tÕi ð¸a nguy®n tác liên lý chi	2	1	-1	Phu thê
93	3	Chiêu Võ Hi®u Úy	Binh sÛ s½ c¤p, m¾i l§p công ð¥u, c¥n c¯ g¡ng thêm	3	1	-1	Tòng quân [ VÑt Bö ]
94	3	Chiêu Võ Hi®u Úy	Binh sÛ s½ c¤p, m¾i l§p công ð¥u, c¥n c¯ g¡ng thêm	3	2	-1	Tòng quân [ VÑt Bö ]
95	3	 Ch¤n Uy Trung Lang Tß½ng 	Tß¾ng lînh s½ c¤p, l§p công m¤y l¥n, tiªp tøc nghiêm túc	3	3	-1	Tòng quân [ VÑt Bö ]
96	3	 Phiªu KÜ Tß½ng Quân 	Tß¾ng lînh trung c¤p, l§p nhi«u công l¾n, tiªp tøc nghiêm túc	3	4	-1	Tòng quân [ VÑt Bö ]
97	3	 Th¥n Vû ÐÕi Tß½ng Quân 	Th¥n võ tß¾ng quân, anh minh th¥n võ, uy ch¤n vû trø	3	5	-1	Tòng quân [ VÑt Bö ]
98	4	 Hµ Ðàn Ð°ng Nhân 	Th¥y pháp tr× ma s½ c¤p, m¾i l§p công ð¥u, c¥n c¯ g¡ng thêm	4	1	-1	Khu quÖ [ VÑt Bö ]
99	4	 Løc Ð¸a Phi Tiên 	Th¥y pháp tr× ma trung c¤p, l§p công m¤y l¥n, tiªp tøc nghiêm túc	4	2	-1	Khu quÖ [ VÑt Bö ]
100	4	 Hàng Ma Thßþng Tiên 	Th¥y pháp tr× ma cao c¤p, l§p nhi«u công l¾n, tiªp tøc nghiêm túc	4	3	-1	Khu quÖ [ VÑt Bö ]
101	4	 Thiên Cß½ng Chân Quân 	Cñc ph¦m tr× ma pháp sß, hàng ma phøc yêu, tr× ma v® ðÕo	4	4	-1	Khu quÖ [ VÑt Bö ]
102	5	 Hoàng Báo Phiêu V® 	Tiêu sß s½ c¤p, m¾i l§p công ð¥u, c¥n c¯ g¡ng thêm	5	1	-1	V§n phiêu [ VÑt Bö ]
103	5	 Xích H± Phiêu Sß 	Tiêu sß trung c¤p, l§p công m¤y l¥n, tiªp tøc nghiêm túc	5	2	-1	V§n phiêu [ VÑt Bö ]
104	5	 H¡c Phßþng Phiêu Ð¥u 	Tiêu sß cao c¤p, l§p nhi«u công l¾n, tiªp tøc nghiêm túc	5	3	-1	V§n phiêu [ VÑt Bö ]
105	5	 BÕch Long T±ng Phiêu Ð¥u 	Cñc ph¦m tiêu sß, v§n tiêu h½n ngß¶i, hình mçu cüa gi¾i kinh doanh	5	4	-1	V§n phiêu [ VÑt Bö ]
106	6	 TrÕng Nguyên 	H÷c thÑc uyên bác, tài ngh® siêu qu¥n, thiên hÕ vô song!	6	3	-1	Khoa cØ [ VÑt Bö ]
107	6	 Bäng Nhãn 	H÷c thÑc h½n ngß¶i, tài ngh® xu¤t chúng, thiên hÕ ð® nh¸!	6	2	-1	Khoa cØ [ VÑt Bö ]
108	6	 Tham Hoa 	H÷c thÑc h½n ngß¶i, tài ngh® xu¤t chúng, thiên hÕ ð® tam!	6	1	-1	Khoa cØ [ VÑt Bö ]
109	7	 Mî Thñc ÐÕi Vß½ng 	Trù ngh® cao siêu, quán tuy®t thiên hÕ	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
110	7	 Di®u Thü H°i Xuân 	H°i xuân di®u thü, Hoa Ðà tái thª	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
111	7	 Bäo ThÕch Chuyên Gia 	Cñc ph¦m Bäo ThÕch, phäi thuµc v« ta!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
112	7	 Chú Kiªm ÐÕi Sß 	Ðúc kiªm ðÕi sß, thiên tß¾ng tái sinh!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
113	7	 Chª Y Nång Thü 	Khéo tay may áo, ðß½ng kim Hoàng ÐÕo Bà!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
114	7	 Xäo Thü Th¥n Tßþng 	Khéo tay nhß th¥n, L² Ban tái sinh!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
115	7	 Vô Song Tài TØ 	Vån tài xu¤t chúng, phong ðµ h½n ngß¶i!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
116	7	 Thäi Dßþc Chuyên Gia 	Th¥n Nông tái thª, nªm tråm cö cây!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
117	7	 Thäi Quáng Chuyên Gia 	Chuyên gia khai khoáng, ði¬n hình cüa ngành khai khoáng!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
118	7	 OÕt Bäo ÐÕi Sß 	Ðµc cø tu® nhãn, ngß¶i t±ng kªt bäo tàng!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
119	7	 Thiên Sß Truy®n Nhân 	Thiên Sß truy«n nhân, m¾i là danh nhân!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
120	7	 Ðiªu Ngß Cao Thü 	Thái Công câu cá, mu¯n ngß¶i m¡c câu	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
121	7	 Thß½ng Nghi®p Cñ Ð¥u 	Thü lînh thß½ng nhân, giàu có mµt phß½ng	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
122	7	 Vû Lâm Ð® N ÐÕi Bang 	Môn phái cüa các hÕ là ðÕi bang thÑ N cüa Võ Lâm	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
123	7	 Mô PhÕm Phu Thê 	Hªt mñc yêu thß½ng, ði¬n hình phu thê!	7	1	-1	Ð£c thù [ Chßa XØ Lý ]
124	8	 Tào V§n Thß½ng 	Thß½ng nhân v§n chuy¬n s½ c¤p, m¾i bß¾c vào ngh«, tiªp tøc c¯ g¡ng	6	1	-1	Tào v§n
125	8	 Tào V§n T¦u T¯t 	Thß½ng nhân v§n chuy¬n c¤p 2, m¾i quen tay v¾i ngh« v§n chuy¬n, tiªp tøc c¯ g¡ng	6	2	-1	Tào v§n
126	8	 Tào V§n Áp Giäi Quan 	Thß½ng nhân v§n chuy¬n c¤p 3, có tài nång trong ngh« v§n chuy¬n, tiªp tøc nghiêm túc	6	3	-1	Tào v§n
127	8	 Tào V§n Th¯ng Lînh 	Thß½ng nhân v§n chuy¬n c¤p 4, cao thü trong ngh« v§n chuy¬n, tiªp tøc nghiêm túc	6	4	-1	Tào v§n
128	8	 Tào V§n Ði«u Ðµ Phó SØ 	Thß½ng nhân v§n chuy¬n c¤p 5, ngß¶i có tiªng trong ngh« v§n chuy¬n, tiªp tøc nghiêm túc	6	5	-1	Tào v§n
129	8	 Tào V§n Ði«u Ðµ SØ 	Thß½ng nhân v§n chuy¬n c¤p 6, ngß¶i có quy«n uy trong ngh« v§n chuy¬n, ði¬n hình cüa gi¾i kinh doanh	6	6	-1	Tào v§n
130	8	 Tào V§n T±ng Ð« Ði«u 	Thß½ng nhân v§n chuy¬n c¤p 7, là th¥n thoÕi trong ngh« v§n chuy¬n, b¤t hü truy«n kÏ	6	7	-1	Tào v§n
131	9	 Bình T£c Sî Binh 	Dûng mãnh giªt gi£c, xung phong tr§n ti«n!	17	1	-1	T£c binh nh§p xâm
132	9	 Bình T£c Ðµi Trß¶ng 	Cao thü giªt gi£c, không h« vø lþi!	17	2	-1	T£c binh nh§p xâm
133	9	 Bình T£c Th¯ng Lînh 	Tinh anh giªt gi£c, kh¡c tinh cüa quân gi£c!	17	3	-1	T£c binh nh§p xâm
134	9	 Ðãng Kh¤u Tß½ng Quân 	Tài cüa ðÕi tß¾ng, d©p yên lû gi£c!	17	4	-1	T£c binh nh§p xâm
135	9	 Ðãng Kh¤u Nguyên Su¤t 	Tài cüa nguyên soái, d©p yên lû gi£c!	17	5	-1	T£c binh nh§p xâm
136	10	 Bï Vû ÐÕi Hµi TrÕng Nguyên 	Võ ngh® siêu qu¥n, coi thß¶ng thiên hÕ	18	3	168	Bï vû ðÕi hµi
137	10	 Bï Vû ÐÕi Hµi Bäng Nhãn 	Võ công trác tuy®t, thiên hÕ ð® nh¸	18	2	168	Bï vû ðÕi hµi
138	10	 Bï Vû ÐÕi Hµi Tham Hoa 	Võ công trác tuy®t, thiên hÕ ð® tam	18	1	168	Bï vû ðÕi hµi
139	11	 Khoa CØ TrÕng Nguyên 	H÷c thÑc uyên bác, trong cuµc thi khoa cØ ðè b©p qu¥n nho!	5	3	168	Khoa cØ
140	11	 Khoa CØ Bäng Nhãn 	H÷c thÑc h½n ngß¶i, trong cuµc thi khoa cØa ðã giành ðßþc v¸ trí thÑ hai!	5	2	168	Khoa cØ
141	11	 Khoa CØ Tham Hoa 	H÷c thÑc h½n ngß¶i, trong cuµc thi khoa cØa ðã giành ðßþc v¸ trí thÑ ba!	5	1	168	Khoa cØ
142	12	 Thi¬u Lâm Hi®p Sî 	Thiªu Lâm S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
143	12	 Hôi Y Hµ Pháp 	Thiªu Lâm Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
144	12	 Kim Thân La Hán 	Thiªu Lâm Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
145	12	 Ð¸a Tàng B° Tát 	Thiªu Lâm Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
146	12	 Thi¬u Lâm Hi®p Næ 	Thiªu Lâm S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
147	12	 BÕch Y Th¸ Giä 	Thiªu Lâm Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
148	12	 Ðµ Thª Quan Âm 	Thiªu Lâm Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
149	12	 Già Lam B° Tát 	Thiªu Lâm Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
150	12	 Minh Giáo Hi®p Sî 	Minh Giáo S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
151	12	 Th¸ Höa Hi®p Sî 	Minh Giáo Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
152	12	 Hµ Giáo Pháp Vß½ng 	Minh Giáo Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
153	12	 Quang Minh Th¥n SØ 	Minh Giáo Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
154	12	 Minh Giáo Hi®p Næ 	Minh Giáo S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
155	12	 Th¸ Höa Hi®p Næ 	Minh Giáo Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
156	12	 Hµ Giáo Tán Nhân 	Minh Giáo Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
157	12	 Quang Minh Thánh Næ 	Minh Giáo Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
158	12	 Cái Bang Hi®p Sî 	Cái Bang S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
159	12	 Thanh Liên Ð® TØ 	Cái Bang Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
160	12	 Huy«n Vû Trß¶ng Lão 	Cái Bang Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
161	12	 Chß·ng B±ng Long Ð¥u 	Cái Bang Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
162	12	 Cái Bang Hi®p Næ 	Cái Bang S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
163	12	 BÕch Liên Ð® TØ 	Cái Bang Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
164	12	 Chu Tß¾c Trß¶ng Lão 	Cái Bang Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
165	12	 Chß·ng Bát Long Næ 	Cái Bang Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
166	12	 Vû Ðß½ng Hi®p Sî 	Võ Ðang S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
167	12	 Thanh Minh Cß Sî 	Võ Ðang Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
168	12	 Vô V« Chân Nhân 	Võ Ðang Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
169	12	 Vû Ðß½ng Thiên Tôn 	Võ Ðang Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
170	12	 Vû Ðß½ng Hi®p Næ 	Võ Ðang S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
171	12	 BÕch Vân Cß Sî 	Võ Ðang Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
172	12	 Thanh Tînh Tán Nhân 	Võ Ðang Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
173	12	 Vû Ðß½ng Tiên TØ 	Võ Ðang Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
174	12	 Nga Mi Hi®p Sî 	Nga My S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
175	12	 Thanh Phong Cß Sî 	Nga My Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
176	12	 Ng÷c Long Hi®p Sî 	Nga My Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
177	12	 Nga Mi Tiên Nhân 	Nga My Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
178	12	 Nga Mi Hi®p Næ 	Nga My S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
179	12	 Minh Nguy®t Cß Sî 	Nga My Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
180	12	 Kim Phßþng Hi®p Næ 	Nga My Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
181	12	 Nga Mi Tiên TØ 	Nga My Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
182	12	 Tinh Túc Hi®p Sî 	Tinh Túc S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
183	12	 Hành Ôn Lang Quân 	Tinh Túc Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
184	12	 Thôi M®nh Phán Quan 	Tinh Túc Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
185	12	 Ðµc Thü Y Tiên 	Tinh Túc Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
186	12	 Tinh Túc Hi®p Næ 	Tinh Túc S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
187	12	 Hành Ôn Nß½ng TØ 	Tinh Túc Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
188	12	 ÐoÕt M®nh DÕ Xoa 	Tinh Túc Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
189	12	 Ðµc Thü Dßþc Vß½ng 	Tinh Túc Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
190	12	 Thiên Long Hi®p Sî 	Thiên Long S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
191	12	 Tàng Kinh Hi®p Sî 	Thiên Long Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
192	12	 Sùng Thánh Thiên Sß 	Thiên Long Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
193	12	 Thiên Nam Long Vß½ng 	Thiên Long Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
194	12	 Thiên Long Hi®p Næ 	Thiên Long S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
195	12	 Tàng Kinh Hi®p Næ 	Thiên Long Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
196	12	 Sùng Thánh Thiên Næ 	Thiên Long Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
197	12	 Thiên Nam Long Næ 	Thiên Long Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
198	12	 Thiên S½n Hi®p Sî 	Thiên S½n S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
199	12	 Dß½ng Thiên Bµ Chúng 	Thiên S½n Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
200	12	 Thiên S½n Thß½ng ¿ng 	Thiên S½n Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
201	12	 H²n Nguyên S½n Th¥n 	Thiên S½n Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
202	12	 Thiên S½n Hi®p Næ 	Thiên S½n S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
203	12	 HÕo Thiên Bµ Chúng 	Thiên S½n Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
204	12	 Thiên S½n Tuyªt Ðiêu 	Thiên S½n Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
205	12	 H²n Nguyên Hoa Th¥n 	Thiên S½n Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
206	12	 Tiêu Diêu Hi®p Sî 	Tiêu Dao S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
207	12	 Phü C¥m Cß Sî 	Tiêu Dao Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
208	12	 LÕc Th¥n Hi®p Sî 	Tiêu Dao Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
209	12	 Tiêu Diêu Th¥n Long 	Tiêu Dao Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
210	12	 Tiêu Diêu Hi®p Næ 	Tiêu Dao S½ c¤p Ð® TØ	21	1	-1	Sß môn c¯ng hiªn
211	12	 Thì Hoa Cß Sî 	Tiêu Dao Trung C¤p Ð® TØ	21	2	-1	Sß môn c¯ng hiªn
212	12	 Lång Ba Hi®p Næ 	Tiêu Dao Cao C¤p Ð® TØ	21	3	-1	Sß môn c¯ng hiªn
213	12	 Tiêu Diêu Thánh Næ 	Tiêu Dao Tinh Thâm Ð® TØ	21	4	-1	Sß môn c¯ng hiªn
214	13	 S½ C¤p Sß Phó 	Ph§n là sß phø, cùng v¾i sñ tiªn bµ cüa ð° ð®. #rCó th¬ thu nÕp thêm 2 ð° ð® 	28	1	-1	Sß ðÑc ðÆng c¤p
215	13	 Trung C¤p Sß Phó 	Ph§n là sß phø, t§n tâm chï dÕy ð° ð®. #rCó th¬ thu nÕp thêm 3 ð° ð® 	28	2	-1	Sß ðÑc ðÆng c¤p
216	13	 Cao C¤p Sß Phó 	Ph§n là sß phø, danh tiªng lçy l×ng.  #rCó th¬ thu nÕp thêm 5 ð° ð®	28	3	-1	Sß ðÑc ðÆng c¤p
217	13	 Nh¤t ÐÕi Danh Sß 	Nh¤t ðÕi danh sß, vÕn danh thiên hÕ. #rCó th¬ thu nÕp thêm 8 ð° ð®	28	4	-1	Sß ðÑc ðÆng c¤p
218	14	_jiebai_	Kªt nghîa kim lan, s¯ng chªt có nhau	24	1	-1	Kªt bái
219	15	#G Bang Chúng 	Thành viên ph± thông cüa bang phái	115	1	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
220	15	#G Tinh Anh 	Thành viên tinh anh cüa bang phái	115	2	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
221	15	#G Thß½ng Nhân 	Ngß¶i phø trách thß½ng vø cüa bang phái	115	3	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
222	15	#G Nµi Vø SØ 	Ngß¶i phø trách nµi vø cüa bang phái	115	4	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
223	15	#G Công Vø SØ 	Ngß¶i phø trách công nông nghi®p cüa bang phái	115	5	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
224	15	#G Ho¢ng Hóa SØ 	Ngß¶i phø trách phát tri¬n bang phái	115	6	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
225	15	#G Phó Bang Chü 	Phó bang chü cüa bang phái, trþ thü ð¡c lñc cüa Bang chü	115	7	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
226	15	#G Bang Chü 	ÐÕi ca bang hµi, ngß¶i quän lý t¯i cao cüa bang phái	115	8	-1	Bang phái [ b¤t th¸ thông quá xßng hi®u ]
