INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10101000	1	1	1	0	0	365	1	-1	-1	點鋼槍	1	普通長槍，純鋼打造。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_1	枪棒类	1	2000	0
10101001	1	1	1	1	0	365	1	-1	-1	亮銀槍	10	銀色槍頭，柄長，有刃，是一種直而尖形的刺殺兵器。	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_1	枪棒类	2010	2000	0
10101002	1	1	1	2	0	369	1	-1	-1	雁翎槍	20	槍頭為煉鐵所制，其式樣與雙鉤鐮槍相似。惟槍尖為扁平梭形狀，形如雁翎。	540	540	137	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_5	枪棒类	2011	2000	0
10101003	1	1	1	3	0	374	1	-1	-1	銀蛇槍	30	全用鑌鐵點鋼打造，矛桿長一丈，矛尖長八寸，刃開雙鋒，作遊蛇形狀，故而名之。	1150	1150	150	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	枪棒类	2012	2000	0
10101004	1	1	1	4	0	378	1	-1	-1	月牙戟	40	戟桿一端裝有金屬槍尖，一側有月牙形利刃通過兩枚小枝與槍尖相連，可刺可砍。	1780	1780	162	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_14	枪棒类	2013	2000	0
10101005	1	1	1	5	0	382	1	-1	-1	火尖槍	50	通體金紅色，槍頭又細又尖，如跳動的火焰。	2700	2700	175	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_2	枪棒类	2014	2000	0
10101006	1	1	1	6	0	386	1	-1	-1	風雷槍	60	槍長兩丈，無任何裝飾，槍頭粗且圓，可刺可拍，利於制敵。	3850	3850	187	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_6	枪棒类	2015	2000	0
10101007	1	1	1	7	0	391	1	-1	-1	夜叉矛	70	槍身雕有夜叉王像，陰森恐怖，槍頭扁平分叉，刺穿敵人後可放血，是殺人利器。	5570	5570	200	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_11	枪棒类	2016	2000	0
10101008	1	1	1	8	0	396	1	-1	-1	鏨金槍	80	槍分三尖，中鑲紅玉，做工精細，槍刃鋒利絕倫，價值萬金。	7450	7450	212	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_16	枪棒类	2017	2000	0
10101009	1	1	1	9	0	401	1	-1	-1	飲血槍	90	東海玄冰鐵打造，通體散發冰藍色光芒，槍出必飲血，故此得名。	9950	9950	225	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5	枪棒类	2018	2000	0
10101010	1	1	1	10	0	405	1	-1	-1	玄盧槍	100	傳為太上真人所鑄，槍頭形狀怪異，此槍一出，所向披靡。	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_9	枪棒类	2019	2000	0
10101100	1	1	1	100	0	365	1	-1	-1	紅纓槍	1	新手武器，沒有什麼價值。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_1	枪棒类	11	2000	0
10102000	1	1	2	0	0	455	1	-1	-1	白鐵劍	1	新手武器，沒有什麼價值。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_1	单短类	2	2000	0
10102001	1	1	2	1	0	458	1	-1	-1	秋葉刃	10	普通銅鐵所鑄，行走江湖防身所用。	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_4	单短类	2020	2000	0
10102002	1	1	2	2	0	460	1	-1	-1	白虹劍	20	劍身通體銀白色，細長，鋒刃銳利。	540	540	137	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_6	单短类	2021	2000	0
10102003	1	1	2	3	0	466	1	-1	-1	藍玉劍	30	精鐵打造，下窄上寬，劍柄處鑲有三顆藍玉，黑夜中也可閃閃發光。	1150	1150	150	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_12	单短类	2022	2000	0
10102004	1	1	2	4	0	470	1	-1	-1	冰弦劍	40	劍身細窄，劍鋒處有倒勾，薄刃如冰，武林中人所喜愛的武器。	1780	1780	162	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_16	单短类	2023	2000	0
10102005	1	1	2	5	0	472	1	-1	-1	精鋼劍	50	此劍精鋼淬就，劍身有菱形圖案，大氣，古舊。	2700	2700	175	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_2	单短类	2024	2000	0
10102006	1	1	2	6	0	480	1	-1	-1	鎮妖刃	60	黃銅精製，刀身雕有七妖環繞圖，刀鋒銳利，不可多得的利器。	3850	3850	187	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_10	单短类	2025	2000	0
10102007	1	1	2	7	0	484	1	-1	-1	金翎劍	70	劍身如雁，上下一般粗細，前端有雁翅狀突起，中央鑲有一玄鐵翎，隱生寒光。	5570	5570	200	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_14	单短类	2026	2000	0
10102008	1	1	2	8	0	489	1	-1	-1	驚鴻刃	80	刀身古樸寬大，飾有金色紋路，與刀鋒的光華相得益彰。	7450	7450	212	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_3	单短类	2027	2000	0
10102009	1	1	2	9	0	490	1	-1	-1	龍麟刃	90	相傳魏文帝曹丕使匠人鍛造百日鑄成的寶刀，紋似龍鱗，刃如白霜，鋒利異常。	9950	9950	225	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_4	单短类	2028	2000	0
10102010	1	1	2	10	0	498	1	-1	-1	玄鐵劍	100	玄鐵所鑄，劍身長約一丈，極為沉重，劍頭鈍圓，全劍無任何雕飾。	16000	16000	237	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_12	单短类	2029	2000	0
10102012	1	1	2	12	0	363	1	-1	-1	礦鋤	10	初級礦鋤。	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	MenpaiLiveSkill_12	工具	101	2000	0
10102013	1	1	2	13	0	361	1	-1	-1	采藥鐮	10	初級采藥鐮。	180	180	125	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	OtherTools2_13	工具	102	2000	0
10102100	1	1	2	100	0	455	1	-1	-1	鐵劍	1	新手武器，沒有什麼價值。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_1	单短类	12	2000	0
10103000	1	1	3	0	0	593	1	-1	-1	雙口刃	1	普通銅鐵所鑄，行走江湖防身所用。（右鍵點擊即可裝備）	20	20	114	3	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_4	双短类	3	2000	0
