INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
46	Thüy Di®u	4	-1	-1	-1	-1	12	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	Huy«n C½	5	-1	-1	-1	-1	43	40	46	33	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	CØu Âm	3	-1	-1	-1	-1	29	46	44	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	Thü Tâm	3	-1	-1	-1	-1	45	9	0	966	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	CØu Änh	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	Nhiªp H°n	3	-1	-1	-1	-1	44	17	45	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	Kh¯ng HÕc	4	-1	-1	-1	-1	29	196	7	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	Phiêu Tuyªt	5	-1	-1	-1	-1	47	5	6	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	HÕc Änh	4	-1	-1	-1	-1	29	270	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	Ng÷c Næ	5	-1	-1	-1	-1	44	32	29	307	26	309	4	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	H°i Tâm	6	-1	-1	-1	-1	29	345	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	T¯ Næ	4	-1	-1	-1	-1	29	382	3	2233	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	Träm Tình	4	-1	-1	-1	-1	6	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	Th¥n Ph®	5	-1	-1	-1	-1	43	40	45	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	Trích Tinh	3	-1	-1	-1	-1	26	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	Tam Âm	3	-1	-1	-1	-1	44	9	3	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	Tr×u Tüy	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	Tri«n H°n	3	-1	-1	-1	-1	46	9	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	Töa H°n	4	-1	-1	-1	-1	26	197	16	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	ÐoÕt H°n	5	-1	-1	-1	-1	47	5	15	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	Luy®n Tâm	4	-1	-1	-1	-1	26	272	46	16	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	Bích Di®m	5	-1	-1	-1	-1	44	32	26	309	29	307	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	Th¥n Mµc	6	-1	-1	-1	-1	26	346	47	6	3	2017	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	Tam Tiªu	4	-1	-1	-1	-1	29	382	0	4340	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	Tàn h°n	4	-1	-1	-1	-1	15	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	Lßu H°n	5	-1	-1	-1	-1	43	40	44	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	ÐÕp Tuyªt	3	-1	-1	-1	-1	19	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	Táng Hoa	3	-1	-1	-1	-1	42	10	35	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	Quy¬n Vô	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	Chân Thüy	3	-1	-1	-1	-1	46	9	42	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	Bát Hoang	4	-1	-1	-1	-1	19	197	7	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	Løc Dß½ng	5	-1	-1	-1	-1	47	5	6	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	Nguy®t Phàm	4	-1	-1	-1	-1	19	272	46	16	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	Ð¸a HÕc	5	-1	-1	-1	-1	42	33	19	309	29	307	20	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	Tâm Vân	6	-1	-1	-1	-1	19	346	47	6	35	385	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	Toái H°n	4	-1	-1	-1	-1	22	382	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	Trì H°i	4	-1	-1	-1	-1	19	384	37	7	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
83	Bích LÕc	5	-1	-1	-1	-1	46	33	42	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84	B¡c Minh	3	-1	-1	-1	-1	22	46	43	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
85	Lång Ba	3	-1	-1	-1	-1	45	9	36	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
86	Thß½ng Trúc	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
87	Chiªt Mai	3	-1	-1	-1	-1	43	17	45	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88	Thu¥n Dß½ng	4	-1	-1	-1	-1	22	196	10	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	LÕc Anh	5	-1	-1	-1	-1	47	5	9	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
90	Ðµn Giáp	4	-1	-1	-1	-1	22	270	43	29	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	Tru Tiên	5	-1	-1	-1	-1	43	33	22	307	26	309	4	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92	Lång Yên	6	-1	-1	-1	-1	22	345	47	6	36	129	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	Vô Nhai	4	-1	-1	-1	-1	29	382	3	2233	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	Thu Thüy	4	-1	-1	-1	-1	9	24	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	Hành Vân	5	-1	-1	-1	-1	43	40	45	40	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	Chính Dß½ng	3	-1	-1	-1	-1	29	46	44	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	Nh¤t Dß½ng	3	-1	-1	-1	-1	44	9	0	966	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	Trung Xung	4	-1	-1	-1	-1	47	3	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	Thiªu Thß½ng	3	-1	-1	-1	-1	44	17	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	Thiªu Dß½ng	4	-1	-1	-1	-1	29	196	32	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	Thß½ng Dß½ng	5	-1	-1	-1	-1	47	5	25	3	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	Quan Trung	4	-1	-1	-1	-1	29	270	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	Thiªu TrÕch	5	-1	-1	-1	-1	44	32	29	307	22	307	23	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	Thiên Nam	6	-1	-1	-1	-1	29	345	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	Tuyªt Nguy®t	4	-1	-1	-1	-1	22	382	29	382	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	Khô Tâm	4	-1	-1	-1	-1	19	384	26	384	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	Thß½ng Ng÷c	5	-1	-1	-1	-1	44	40	46	33	37	7	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	Ban t£ng bµ Tinh Phß·ng	4	-1	-1	-1	-1	22	54	44	6	0	629	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	Ban t£ng bµ Thøc Ð°ng	4	-1	-1	-1	-1	42	8	35	78	0	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	Ban t£ng bµ Tinh Cß½ng	4	-1	-1	-1	-1	42	13	35	129	0	1346	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	Ban t£ng bµ Hoàng Kim	5	-1	-1	-1	-1	42	17	35	171	0	1768	36	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	Ban t£ng bµ H²n Ðµn	5	-1	-1	-1	-1	42	21	35	213	0	2189	36	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	Ban t£ng bµ Phi H±	6	-1	-1	-1	-1	42	25	35	255	0	2611	36	85	19	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	Ban t£ng bµ Thiên Uy	6	-1	-1	-1	-1	42	28	35	297	0	3033	36	99	19	268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	Ban t£ng bµ Tám Ti	4	-1	-1	-1	-1	43	8	35	78	3	435	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	Ban t£ng bµ Linh La	4	-1	-1	-1	-1	43	13	35	129	3	695	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	Ban t£ng bµ Thøc C¦m	5	-1	-1	-1	-1	43	17	35	171	3	912	36	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	Ban t£ng bµ Huy«n Minh	5	-1	-1	-1	-1	43	21	35	213	3	1128	36	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	Ban t£ng bµ Ð¢ng Long	6	-1	-1	-1	-1	43	25	35	255	3	1345	36	85	26	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
