INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
16	0	Å®Ö÷½ÇÁ³29.mesh	Khuynh Vân Hình	Å®Ö÷½ÇÁ³29	30008118	1	2	Cloth8_8	50000
17	0	Å®Ö÷½ÇÁ³30.mesh	Hình linh ðµng	Å®Ö÷½ÇÁ³30	30008129	1	2	Cloth8_8	50000
18	0	Å®Ö÷½ÇÁ³32.mesh	Ki¬u Lông Mày	Å®Ö÷½ÇÁ³32	30008140	1	2	Cloth8_8	50000
19	0	Å®Ö÷½ÇÁ³¸ß¹ó120312_1.mesh	Phong D§t Hình	Å®Ö÷½ÇÁ³¸ß¹ó120312_1	30008141	1	2	Cloth8_8	50000
23	0	Å®Ö÷½ÇÁ³44.mesh	Mi Änh Hình	Å®Ö÷½ÇÁ³44	30008147	1	2	Cloth8_8	50000
100	1	ÄÐÖ÷½ÇÁ³01.mesh	LoÕi hình kiên cß¶ng	ÄÐÖ÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000
101	1	ÄÐÖ÷½ÇÁ³02.mesh	LoÕi hình dûng cäm	ÄÐÖ÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000
102	1	ÄÐÖ÷½ÇÁ³03.mesh	LoÕi hình quyªt ðoán	ÄÐÖ÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000
103	1	ÄÐÖ÷½ÇÁ³04.mesh	LoÕi hình tñ tin	ÄÐÖ÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000
104	1	ÄÐÖ÷½ÇÁ³05.mesh	LoÕi hình ßu u¤t	ÄÐÖ÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000
105	1	ÄÐÖ÷½ÇÁ³06.mesh	Mê Ho£c Hình	ÄÐÖ÷½ÇÁ³06	30008035	1	2	Cloth8_8	50000
106	1	ÄÐÖ÷½ÇÁ³07.mesh	Khuôn m£t	ÄÐÖ÷½ÇÁ³07	30008036	1	2	Cloth8_8	50000
107	1	ÄÐÖ÷½ÇÁ³08.mesh	Thß½ng Tang Hình	ÄÐÖ÷½ÇÁ³08	30008040	1	2	Cloth8_8	50000
108	1	ÄÐÖ÷½ÇÁ³09.mesh	Mông Lung Hình	ÄÐÖ÷½ÇÁ³09	30008041	1	2	Cloth8_8	50000
109	1	ÄÐÖ÷½ÇÁ³10.mesh	Cu°ng Dã Hình	ÄÐÖ÷½ÇÁ³10	30008042	1	2	Cloth8_8	50000
110	1	ÄÐÖ÷½ÇÁ³11.mesh	Th¸ NgÕo Hình	ÄÐÖ÷½ÇÁ³11	30008043	1	2	Cloth8_8	50000
111	1	ÄÐÖ÷½ÇÁ³14.mesh	Thâm Thúy Hình	ÄÐÖ÷½ÇÁ³14	30008068	1	2	Cloth8_8	50000
112	1	ÄÐÖ÷½ÇÁ³12.mesh	Linh MÜ Hình	ÄÐÖ÷½ÇÁ³12	30008095	1	2	Cloth8_8	50000
113	1	ÄÐÖ÷½ÇÁ³18.mesh	Thanh Nhã Hình	ÄÐÖ÷½ÇÁ³18	30008104	1	2	Cloth8_8	50000
114	1	ÄÐÖ÷½ÇÁ³25.mesh	Phong Tr¥n Hình	ÄÐÖ÷½ÇÁ³25	30008113	1	2	Cloth8_8	50000
115	1	ÄÐÖ÷½ÇÁ³27.mesh	Khuynh Vân Hình	ÄÐÖ÷½ÇÁ³27	30008118	1	2	Cloth8_8	50000
116	1	ÄÐÖ÷½ÇÁ³26.mesh	Hình linh ðµng	ÄÐÖ÷½ÇÁ³26	30008129	1	2	Cloth8_8	50000
117	1	ÄÐÖ÷½ÇÁ³29.mesh	Ki¬u Lông Mày	ÄÐÖ÷½ÇÁ³29	30008140	1	2	Cloth8_8	50000
118	1	ÄÐÖ÷½ÇÁ³×ÔÐÅ120312_1.mesh	Phong D§t Hình	ÄÐÖ÷½ÇÁ³×ÔÐÅ120312_1	30008141	1	2	Cloth8_8	50000
122	1	ÄÐÖ÷½ÇÁ³39.mesh	Mi Änh Hình	ÄÐÖ÷½ÇÁ³39	30008147	1	2	Cloth8_8	50000
10001	0	Å®Ö÷½ÇÁ³¸ßÄ£01.mesh	LoÕi hình xinh ð©p	Å®Ö÷½ÇÁ³¸ßÄ£01	30008020	1	-1	Cloth8_8	50000
10002	0	Å®Ö÷½ÇÁ³¸ßÄ£02.mesh	LoÕi hình trí tu®	Å®Ö÷½ÇÁ³¸ßÄ£02	30008020	1	-1	Cloth8_8	50000
10003	0	Å®Ö÷½ÇÁ³¸ßÄ£03.mesh	LoÕi hình vui vë	Å®Ö÷½ÇÁ³¸ßÄ£03	30008020	1	-1	Cloth8_8	50000
10004	0	Å®Ö÷½ÇÁ³¸ßÄ£04.mesh	LoÕi hình cao quý	Å®Ö÷½ÇÁ³¸ßÄ£04	30008020	1	-1	Cloth8_8	50000
10005	0	Å®Ö÷½ÇÁ³¸ßÄ£05.mesh	LoÕi hình thøc næ	Å®Ö÷½ÇÁ³¸ßÄ£05	30008020	1	-1	Cloth8_8	50000
10100	1	ÄÐÖ÷½Ç¸ßÄ£Á³05.mesh	LoÕi hình kiên cß¶ng	ÄÐÖ÷½Ç¸ßÄ£Á³05	30008020	1	-1	Cloth8_8	50000
10101	1	ÄÐÖ÷½Ç¸ßÄ£Á³04.mesh	LoÕi hình dûng cäm	ÄÐÖ÷½Ç¸ßÄ£Á³04	30008020	1	-1	Cloth8_8	50000
10102	1	ÄÐÖ÷½Ç¸ßÄ£Á³03.mesh	LoÕi hình quyªt ðoán	ÄÐÖ÷½Ç¸ßÄ£Á³03	30008020	1	-1	Cloth8_8	50000
10103	1	ÄÐÖ÷½Ç¸ßÄ£Á³02.mesh	LoÕi hình tñ tin	ÄÐÖ÷½Ç¸ßÄ£Á³02	30008020	1	-1	Cloth8_8	50000
10104	1	ÄÐÖ÷½Ç¸ßÄ£Á³06.mesh	LoÕi hình ßu u¤t	ÄÐÖ÷½Ç¸ßÄ£Á³06	30008020	1	-1	Cloth8_8	50000
