INT	STRING
35	    阿彌陀佛，但願蕭施主以天下蒼生為念，莫要再追問下去了。
36	    當我單某是什麼人？這帶頭大哥休再提起，休再提起。
37	    請轉告你們南院大王，我雖武功不及於他，但要迫我說出帶頭大哥，卻是不能的。
38	    哼，我只是取到先夫的遺信，問我帶頭大哥，那個卻也不知。
39	    前一段聽說世子還在大理城，後來聽說是去了中原了。
40	    聽從中原回來的朋友說，鎮南王府世子曾在蘇州一帶出現過。
41	    鎮南王府世子喜愛遊歷天下，一時要問消息，卻也不太準確，據說他曾去了蘇州。
42	    別的不知，只是聽無錫的好友說，曾見鎮南王世子與個大漢在酒肆中飲酒。
43	    噓，此事萬萬不可與別人知道，聽說鎮南王世子是被一個胡僧擄走了。
44	    當今聖上政通人和，仁厚愛民，我們交口稱讚還來不及呢。
45	    昨天晚上的早點不錯啊……今天白天的月亮也挺圓的……
46	    莫談國事，莫談國事。我什麼都不知道。
47	    你打聽這些做什麼？難道是活得不耐煩了？
48	    對不起，我不是大理國人，對你所說的事情一無所知。
49	    你在說什麼啊？我怎麼一句都聽不懂啊？
50	    我聽說成就大業的人，靠的是一個“仁”字。段延慶身為“四大惡人”之首，心狠手辣，哪有什麼仁義可言？我是不會與他為伍的。
51	    段延慶出身貴胄，胸懷大志，武藝超群，可以說是一代英傑。但現在大理國段正明政治清明，輕賦薄役。幫助段延慶，只會給人民帶來苦難而已。這種事我是不會去做的。
52	    大理國民心歸於段正明兄弟，段延慶想要復辟，只會徒勞無功而已。他的能力越大，幫手越多，圖謀越深，給人民帶來的傷害就會越大。恕我不能相助！
53	    這個……江湖傳言多有不實，在下可是貧寒之人啊。
54	    慕容公子有事相托，在下榮幸的緊，但本官手頭真的是不寬裕啊。
55	    錢糧？大事？莫非你們要造反？快走快走，再多說話我可上報朝庭了。
56	    錢糧？大事？莫非你們要造反？且莫再說了，免得連累我。
57	    以彼之道，還彼之身的慕容家居然向我開口，一向並無來往，嘿嘿，免談。
58	    阿彌陀佛，我出家人不談俗事，施主切莫再言此話，善哉善哉！
59	    施主差矣，貧僧只是出家之人，談什麼威望，善哉善哉！
60	    敝寺乃是出家之人，不受人差役，姑蘇慕容施主若說以武力相脅，敝寺上下僧眾定不會屈從。
61	    無量天尊，施主切莫妄言，本派一向修丹煉道，習武只是強身健體，慕容施主有什麼大事，貧道既不關心亦不參與。
62	    請轉告慕容施主，貧道一向淡泊江湖俗事，恕不能從命。
63	    江湖恕事，本派向來不甚參與，請施主將貧道之意轉告慕容施主。
64	    相助？敝派一向遠離中原，對中原的恩恩怨怨根本不想卷中其中。
65	    大事？我們離中原甚遠，對慕容公子的事不是很瞭解。
66	    你們中原江湖一向你殺我砍，對不起，敝派並不想捲入其中。
67	    我派弟子隱出江湖多年，無論大事小事，恕不便參與。
68	    這個……敝派向來不甚參與江湖的恩怨，慕容公子的大事，既不便明言相告，我們也更本不甚關心，就此別過。
69	    貴國的事情我們不便參與，那位慕容要做什麼大事，又不肯明言，讓我國如何相助？
70	    聽命于慕容公子？我豈是居於人下之人，休要再言！
71	    姑蘇慕容雖然在江湖上名頭響亮，要我聽命於他，卻是休想，讓那姓慕容的儘管來找我。
72	    哈哈，你道我是什麼人？居然要我臣服于姑蘇慕容？真是好笑。
73	    哦，慕容公子真是客氣，有什麼吩咐告訴我就好，還用這樣……好吧好吧，我先收著。
74	    這個不太好吧！我手上從不收禮，你直接放我袖子裏好了。
75	    這個……這個，太客氣了，上次的銀票還沒用完呢……好吧，只好先收了。
76	    慕容公子忒見外，本官正在收集蘇州銀票合集，我才有五六張，聽要一百多張一套呢。
77	    無事獻殷勤，非奸即盜！念你是初犯，本官不加罪於你，不過證物留下，回去告訴慕容複，下次不可再犯。
78	    本官明鏡高懸，兩袖清風，從來不收人賄賂。這張銀票我且當面撕毀，你回去告訴慕容複，這次姑且可恕，下次再犯本官決不姑息。
79	    你問我們尊主的……那個……兩股之上是不是有香疤？這，這，我們哪里知道……不過前些日子聽伺候尊主沐浴的姐妹說，似乎是有的吧。
80	    虛竹這孩子，我是看著他長大的。這孩子似乎有一次說起過，他與佛門有緣，身上天然生就香疤。但是否生在……阿彌陀佛，老衲不知。
81	    掌門師叔早已不再是少林弟子了，卻常常以少林弟子自居。師父說掌門師叔身上天然生就香疤，這佛門氣質啊，退是退不掉了。
82	    嗯，婚柬已經收到，有機會一定去西夏觀光。
83	    請轉告西夏國使者，能得此殊榮，不勝榮幸。
84	    你是問鎮南王世子吧，具體的我也不清楚，只是聽說早就不在大理城了。
85	    哦，你找對人了，問我我最清楚，他肯定已經不在大理了。
86	    世子去了中原，鎮南王急得要死要活，聽說專程去了中原去找世子了。
87	    我的消息比較可靠，鎮南王世子和一個番僧一起去了中原，想來是去學習番邦的佛法吧。
88	    有個在蘇州經商的朋友回來，說在蘇州見過鎮南王世子。
89	    保定帝鎮南王仁義治國，世子沒有消息，我們做百姓也替他們著急啊。
90	    我這江南甜餅的製作方法，還請少俠轉述給阮星竹女俠。
91	    哦，阮星竹女俠要蘇式芙蓉餅的製作方法啊，我就告訴你吧。
92	    我把荷葉酥餅的製作方法告訴你吧，你可要記好啊。
93	    你終於來了啊，這秘制桂花甜點的製作方法，我就告訴你吧。
94	    嗯，我是答應送給小阿碧一本食譜，嗯，就是這本，辛苦你帶給她。
95	    阿碧啊，嗯，有這麼回事，這本食譜你收好了。
96	    辛苦您了，這是食譜，收好了您呢！
97	    是那個小姑娘啊，嗯嗯，這個食譜你收好了。
98	    什麼？王夫人！天哪，饒了我吧，救命啊！
99	    我我我我和我老婆感情好得很呢，我我我我哪有和別的姑娘相好？
100	    唉，沒想到還是躲不過……還是被王夫人發現了。
101	    我兩個都娶還不行嗎？求求你在王夫人面前多說說好話啊。
102	    我不想做花肥啊！救命啊！我現在就去寫休書……。
103	    最近我在勤練師父教的“藍砂手”功夫，但總是不得要領啊。
104	    “蛤蟆功”這一招我就算日日夜夜不停修習，恐怕也難以達到師父十分之一的威力。
105	    我最近正在練“天地同壽”這一招，這招是師父從武當派的招數中演化而來的。
106	    “指鹿為馬”招數的確複雜，但只要記住“抹煞良心”四字，倒也不難。
107	    “木甲術”只要修習得當，就能大幅提升自己的防禦能力。
108	    這招“冰蠶毒掌”原是那鐵頭師兄的招數，經師父改進之後，威力更大。
109	    阿彌陀佛，有件需要有勞施主與小僧捎個口訊，請告知%n，告訴他我有要事，這段時間洛陽的安全不是很好，務必要嚴密保護宗贊王子的安全。
110	    小僧有件不請之請，我國王子宗贊最近將赴西夏招駙馬，勞煩施主去找到%n要他一定要保護好王子。
111	    小僧有事請施主代勞，請找到%n確認一下上次小僧所托之事，是否完成。
112	      %n我曾有事相托于他，勞煩施主代小僧去問問，情況如何了。
113	    小僧有一事勞煩，請找%n，約他與小僧聯繫，有事關兩國利益的美事相商。
114	    阿彌陀佛，施主請了。我欲%n聯繫商議國家大事，麻煩施主帶口信給他，小僧這裏先謝過了。
115	    屬下謹遵國師安排。
116	    國師有命，屬下萬死不辭。
117	    保護王子，乃屬下的職責，請轉告國師，一定不負國師所望。
118	    請轉告吐蕃國師，危害大宋的事，本官絕對不會去做。
119	    這樣國家大事，國師還是通過正規途徑來做吧，本官就是天大的膽子也不敢越權從命。
120	    這個，這個，此乃滿門抄斬的大罪，本官萬萬不敢從命。
121	    嗯，知道了，能與吐蕃會獵中原，雖是美事，但還要從長計議啊。
122	    有勞了，會獵中原一事，雖然不錯，但大宋兵多糧豐，恐怕不是那麼容易的。
