INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3021	Quy Biªn D¸	302	5	9	1	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1908	2758	1696	1696	1908	540	594	621	702	810	800	150	20	20	10	120000	3020
3029	Quy Bäo Bäo	302	5	9	0	1	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	1468	2120	1304	1304	1468	540	594	621	702	810	800	150	20	20	10	120000	3020
3030	C¦u TØ Trß·ng Thành	303	5	9	0	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	2228	1884	1198	1542	1198	642	706	738	834	963	10	20	800	20	150	120000	3030
3031	C¦u TØ Biªn D¸	303	5	9	1	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	2896	2450	1558	2004	1558	642	706	738	834	963	10	20	800	20	150	120000	3030
3039	C¦u TØ Bäo Bäo	303	5	9	0	1	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	2228	1884	1198	1542	1198	642	706	738	834	963	10	20	800	20	150	120000	3030
3040	Nhím Trß·ng Thành	304	5	9	0	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1714	1714	1714	1714	1714	642	706	738	834	963	150	800	20	20	10	120000	3040
3041	Nhím Biªn D¸	304	5	9	1	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	2228	2228	2228	2228	2228	642	706	738	834	963	150	800	20	20	10	120000	3040
3049	Nhím Bäo Bäo	304	5	9	0	1	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1714	1714	1714	1714	1714	642	706	738	834	963	150	800	20	20	10	120000	3040
3050	H¥u TØ Trß·ng Thành	305	5	9	0	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1714	1542	1370	2228	1198	642	706	738	834	963	20	50	20	900	10	120000	3050
3051	H¥u TØ Biªn D¸	305	5	9	1	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	2228	2004	1782	2896	1558	642	706	738	834	963	20	50	20	900	10	120000	3050
3059	H¥u TØ Bäo Bäo	305	5	9	0	1	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1714	1542	1370	2228	1198	642	706	738	834	963	20	50	20	900	10	120000	3050
3060	Tùng ThØ Trß·ng Thành	306	5	9	0	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1254	1434	2332	1434	1972	744	818	855	967	1116	800	150	20	20	10	120000	3060
3061	Tùng ThØ Biªn D¸	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1444	1650	2682	1650	2268	744	818	855	967	1116	800	150	20	20	10	120000	3060
3062	Tùng ThØ Biªn D¸	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1632	1864	3030	1864	2564	744	818	855	967	1116	800	150	20	20	10	120000	3060
3069	Tùng ThØ Bäo Bäo	306	5	9	0	1	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1254	1434	2332	1434	1972	744	818	855	967	1116	800	150	20	20	10	120000	3060
3070	Hoán Hùng Trß·ng Thành	307	5	9	0	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1794	1794	1794	1794	1794	744	818	855	967	1116	150	800	20	20	10	120000	3070
3071	Hoán Hùng Biªn D¸	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	2062	2062	2062	2062	2062	744	818	855	967	1116	10	20	20	150	800	120000	3070
3072	Hoán Hùng Biªn D¸	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	2332	2332	2332	2332	2332	744	818	855	967	1116	10	20	20	150	800	120000	3070
3079	Hoán Hùng Bäo Bäo	307	5	9	0	1	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1794	1794	1794	1794	1794	744	818	855	967	1116	10	20	20	150	800	120000	3070
3080	Anh Vû Trß·ng Thành	308	5	9	0	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1254	1434	2332	1434	1972	744	818	855	967	1116	20	50	20	900	10	120000	3080
3081	Anh Vû Biªn D¸	308	5	9	1	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1444	1650	2682	1650	2268	744	818	855	967	1116	20	50	20	900	10	120000	3080
3082	Anh Vû Biªn D¸	308	5	9	1	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1632	1864	3030	1864	2564	744	818	855	967	1116	20	50	20	900	10	120000	3080
3089	Anh Vû Bäo Bäo	308	5	9	0	1	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1254	1434	2332	1434	1972	744	818	855	967	1116	20	50	20	900	10	120000	3080
3090	Tích D¸ch Trß·ng Thành	309	5	9	0	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1876	1876	1876	1876	1876	846	930	972	1099	1269	150	800	20	20	10	120000	3090
3091	Tích D¸ch Biªn D¸	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2156	2156	2156	2156	2156	846	930	972	1099	1269	150	800	20	20	10	120000	3090
3092	Tích D¸ch Biªn D¸	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2438	2438	2438	2438	2438	846	930	972	1099	1269	150	800	20	20	10	120000	3090
3099	Tích D¸ch Bäo Bäo	309	5	9	0	1	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1876	1876	1876	1876	1876	846	930	972	1099	1269	150	800	20	20	10	120000	3090
3100	D½i Trß·ng Thành	310	5	9	0	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1876	1876	1876	1876	1876	846	930	972	1099	1269	10	20	20	150	800	120000	3100
3101	D½i Biªn D¸	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2156	2156	2156	2156	2156	846	930	972	1099	1269	10	20	20	150	800	120000	3100
3102	D½i Biªn D¸	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2438	2438	2438	2438	2438	846	930	972	1099	1269	10	20	20	150	800	120000	3100
3109	D½i Bäo Bäo	310	5	9	0	1	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1876	1876	1876	1876	1876	846	930	972	1099	1269	10	20	20	150	800	120000	3100
3110	Ðß¶ng Lang Trß·ng Thành	311	5	9	0	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2438	2062	1312	1688	1312	846	930	972	1099	1269	20	300	150	500	30	120000	3110
3111	Ðß¶ng Lang Biªn D¸	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2804	2372	1510	1940	1510	846	930	972	1099	1269	20	300	150	500	30	120000	3110
3112	Ðß¶ng Lang Biªn D¸	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	3170	2682	1706	2194	1706	846	930	972	1099	1269	20	300	150	500	30	120000	3110
3119	Ðß¶ng Lang Bäo Bäo	311	5	9	0	1	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2438	2062	1312	1688	1312	846	930	972	1099	1269	20	300	150	500	30	120000	3110
3120	NgÕc Ngß Trß·ng Thành	312	5	9	0	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1688	2438	1500	1500	1688	846	930	972	1099	1269	300	500	150	30	20	120000	3120
3121	NgÕc Ngß Biªn D¸	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1940	2804	1724	1724	1940	846	930	972	1099	1269	300	500	150	30	20	120000	3120
3122	NgÕc Ngß Biªn D¸	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2194	3170	1950	1950	2194	846	930	972	1099	1269	300	500	150	30	20	120000	3120
3129	NgÕc Ngß Bäo Bäo	312	5	9	0	1	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1688	2438	1500	1500	1688	846	930	972	1099	1269	300	500	150	30	20	120000	3120
3130	Miêu Ð¥u ¿ng Trß·ng Thành	313	45	9	0	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1958	1762	1566	2544	1370	948	1042	1090	1232	1422	150	800	20	20	10	120000	3130
3131	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2152	1938	1722	2798	1506	948	1042	1090	1232	1422	150	800	20	20	10	120000	3130
3132	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2348	2114	1878	3054	1644	948	1042	1090	1232	1422	150	800	20	20	10	120000	3130
3133	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2290	2036	3308	1780	948	1042	1090	1232	1422	150	800	20	20	10	120000	3130
3139	Miêu Ð¥u ¿ng Bäo Bäo	313	45	9	0	1	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1958	1762	1566	2544	1370	948	1042	1090	1232	1422	150	800	20	20	10	120000	3130
3140	Ch°n Trß·ng Thành	314	45	9	0	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	30	50	100	700	120	120000	3140
3141	Ch°n Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2798	2368	1506	1938	1506	948	1042	1090	1232	1422	30	50	100	700	120	120000	3140
3142	Ch°n Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3054	2584	1644	2114	1644	948	1042	1090	1232	1422	30	50	100	700	120	120000	3140
3143	Ch°n Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3308	2798	1780	2290	1780	948	1042	1090	1232	1422	30	50	100	700	120	120000	3140
3149	Ch°n Bäo Bäo	314	45	9	0	1	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	30	50	100	700	120	120000	3140
3150	H± Trß·ng Thành	315	45	9	0	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	20	30	150	300	500	120000	3150
3151	H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2798	2368	1506	1938	1506	948	1042	1090	1232	1422	20	30	150	300	500	120000	3150
3152	H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3054	2584	1644	2114	1644	948	1042	1090	1232	1422	20	30	150	300	500	120000	3150
3153	H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3308	2798	1780	2290	1780	948	1042	1090	1232	1422	20	30	150	300	500	120000	3150
3159	H± Bäo Bäo	315	45	9	0	1	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	20	30	150	300	500	120000	3150
3160	Dã Trß Trß·ng Thành	316	45	9	0	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	10	20	20	150	800	120000	3160
3161	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2798	2368	1506	1938	1506	948	1042	1090	1232	1422	10	20	20	150	800	120000	3160
3162	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3054	2584	1644	2114	1644	948	1042	1090	1232	1422	10	20	20	150	800	120000	3160
3163	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3308	2798	1780	2290	1780	948	1042	1090	1232	1422	10	20	20	150	800	120000	3160
3169	Dã Trß Bäo Bäo	316	45	9	0	1	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	10	20	20	150	800	120000	3160
3170	Bång T¢m Trß·ng Thành	317	55	9	0	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1428	1632	2652	1632	2244	1051	1156	1208	1366	1576	800	150	20	20	10	120000	3170
3171	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1534	1754	2850	1754	2412	1051	1156	1208	1366	1576	800	150	20	20	10	120000	3170
3172	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1642	1876	3048	1876	2580	1051	1156	1208	1366	1576	800	150	20	20	10	120000	3170
3173	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1748	1998	3248	1998	2748	1051	1156	1208	1366	1576	800	150	20	20	10	120000	3170
3174	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1856	2120	3446	2120	2916	1051	1156	1208	1366	1576	800	150	20	20	10	120000	3170
3179	Bång T¢m Bäo Bäo	317	55	9	0	1	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1428	1632	2652	1632	2244	1051	1156	1208	1366	1576	800	150	20	20	10	120000	3170
3180	¿ng Trß·ng Thành	318	55	9	0	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2040	1836	1632	2652	1428	1051	1156	1208	1366	1576	10	20	20	150	800	120000	3180
3181	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2192	1972	1754	2850	1534	1051	1156	1208	1366	1576	10	20	20	150	800	120000	3180
3182	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2346	2110	1876	3048	1642	1051	1156	1208	1366	1576	10	20	20	150	800	120000	3180
3183	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2498	2248	1998	3248	1748	1051	1156	1208	1366	1576	10	20	20	150	800	120000	3180
3184	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2652	2386	2120	3446	1856	1051	1156	1208	1366	1576	10	20	20	150	800	120000	3180
3189	¿ng Bäo Bäo	318	55	9	0	1	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2040	1836	1632	2652	1428	1051	1156	1208	1366	1576	10	20	20	150	800	120000	3180
3190	Ðà Ði¬u Trß·ng Thành	319	55	9	0	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2040	1836	1632	2652	1428	1051	1156	1208	1366	1576	500	300	150	30	20	120000	3190
3191	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2192	1972	1754	2850	1534	1051	1156	1208	1366	1576	500	300	150	30	20	120000	3190
3192	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2346	2110	1876	3048	1642	1051	1156	1208	1366	1576	500	300	150	30	20	120000	3190
3193	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2498	2248	1998	3248	1748	1051	1156	1208	1366	1576	500	300	150	30	20	120000	3190
