INT	STRING	INT	INT	INT	INT	INT	INT	INT
20308085	護腕打造圖5級	17	1	5460	0	0	0	0
20308086	護腕打造圖6級	11	1	5471	0	0	0	0
20308087	護腕打造圖7級	5	1	5476	0	0	0	0
20308092	鞋子打造圖2級	28	0	5504	0	0	0	0
20308093	鞋子打造圖3級	28	0	5532	0	0	0	0
20308094	鞋子打造圖4級	23	0	5555	0	0	0	0
20308095	鞋子打造圖5級	17	1	5572	0	0	0	0
20308096	鞋子打造圖6級	11	1	5583	0	0	0	0
20308097	鞋子打造圖7級	5	1	5588	0	0	0	0
20308102	項鏈打造圖2級	28	0	5616	0	0	0	0
20308103	項鏈打造圖3級	28	0	5644	0	0	0	0
20308104	項鏈打造圖4級	23	0	5667	0	0	0	0
20308105	項鏈打造圖5級	17	1	5684	0	0	0	0
20308106	項鏈打造圖6級	11	1	5695	0	0	0	0
20308107	項鏈打造圖7級	5	1	5700	0	0	0	0
20308112	戒指打造圖2級	28	0	5728	0	0	0	0
20308113	戒指打造圖3級	28	0	5756	0	0	0	0
20308114	戒指打造圖4級	23	0	5779	0	0	0	0
20308115	戒指打造圖5級	17	1	5796	0	0	0	0
20308116	戒指打造圖6級	11	1	5807	0	0	0	0
20308117	戒指打造圖7級	5	1	5812	0	0	0	0
20308122	腰飾打造圖2級	28	0	5840	0	0	0	0
20308123	腰飾打造圖3級	28	0	5868	0	0	0	0
20308124	腰飾打造圖4級	23	0	5891	0	0	0	0
20308125	腰飾打造圖5級	17	1	5908	0	0	0	0
20308126	腰飾打造圖6級	11	1	5919	0	0	0	0
20308127	腰飾打造圖7級	5	1	5924	0	0	0	0
20109002	竹箭	625	0	6549	0	0	0	0
20109003	犛牛角	625	0	7174	0	0	0	0
20109004	紫竹箭	500	0	7674	0	0	0	0
20109005	玉犀角	375	1	8049	0	0	0	0
20109006	湘妃箭	250	1	8299	0	0	0	0
20109007	浚雲之角	125	1	8424	0	0	0	0
50101001	貓眼石（1級）	75	0	8499	0	0	0	0
50101002	虎眼石（1級）	75	0	8574	0	0	0	0
50102001	黃晶石（1級）	75	0	8649	0	0	0	0
50102002	藍晶石（1級）	75	0	8724	0	0	0	0
50102003	紅晶石（1級）	75	0	8799	0	0	0	0
50102004	綠晶石（1級）	75	0	8874	0	0	0	0
50103001	紫玉（1級）	75	0	8949	0	0	0	0
50104002	變石（1級）	75	1	9024	0	0	0	0
50111001	石榴石（1級）	75	0	9099	0	0	0	0
50111002	尖晶石（1級）	75	0	9174	0	0	0	0
50112001	黃玉（1級）	75	0	9249	0	0	0	0
50112002	皓石（1級）	75	0	9324	0	0	0	0
50112003	月光石（1級）	75	0	9399	0	0	0	0
50112004	碧璽（1級）	75	0	9474	0	0	0	0
50113001	黃寶石（1級）	75	0	9549	0	0	0	0
50113002	藍寶石（1級）	75	0	9624	0	0	0	0
50113003	綠寶石（1級）	75	0	9699	0	0	0	0
50113004	紅寶石（1級）	75	0	9774	0	0	0	0
50113005	黑寶石（1級）	75	0	9849	0	0	0	0
50114001	祖母綠（1級）	75	0	9924	0	0	0	0
30304045	相思紅豆粥食譜	5	1	9929	0	0	0	0
30304046	水鴨潤肺湯食譜	5	1	9934	0	0	0	0
30304047	核桃雞丁食譜	5	1	9939	0	0	0	0
30304048	魚香碎白肉食譜	5	1	9944	0	0	0	0
30304049	山椒醉雞翅食譜	5	1	9949	0	0	0	0
30304050	黃油鮁魚 食譜	5	1	9954	0	0	0	0
30304051	海帶牛肉湯食譜	5	1	9959	0	0	0	0
30304052	乾炸鯽魚食譜	5	1	9964	0	0	0	0
30304053	木耳豬肉片食譜	5	1	9969	0	0	0	0
30304054	烤肉蓋飯食譜	2	1	9971	0	0	0	0
30304055	煨烤鮭魚食譜	2	1	9973	0	0	0	0
30304056	川肉絲食譜	2	1	9975	0	0	0	0
30304057	碗仔翅食譜	2	1	9977	0	0	0	0
30304058	鹽煎肉食譜	2	1	9979	0	0	0	0
30304059	麻辣鴨胗食譜	2	1	9981	0	0	0	0
30304060	香菇滑雞食譜	2	1	9983	0	0	0	0
30304061	翡翠雙冬蹄膀食譜	2	1	9985	0	0	0	0
30304062	山椒蒸鯇魚食譜	2	1	9987	0	0	0	0
30303055	冰龍丹藥方	5	1	9992	0	0	0	0
30303056	龜甲散藥方	5	1	9997	0	0	0	0
30303057	金雷丸藥方	5	1	10002	0	0	0	0
30303058	五毒散藥方	5	1	10007	0	0	0	0
30303059	仙丹冰瀾藥方	2	1	10009	0	0	0	0
30303060	仙丹避邪藥方	2	1	10011	0	0	0	0
30303061	仙丹玄炎藥方	2	1	10013	0	0	0	0
30303062	仙丹鳳珠藥方	2	1	10015	0	0	0	0
