INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
15	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
16	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
17	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
18	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
19	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
20	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
21	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
22	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
23	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
24	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
25	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
26	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
27	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
28	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
29	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
30	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
31	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
32	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
33	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
34	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
35	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
36	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
37	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
38	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
39	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
40	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
41	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
42	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
43	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
44	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
45	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
46	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
47	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
48	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
49	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
50	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
51	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
52	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
53	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
54	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
55	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
56	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
57	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
58	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
59	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
60	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
61	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
62	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
63	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
64	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
65	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
66	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
67	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
68	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
69	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
70	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
71	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
72	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
73	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
74	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
75	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
76	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
77	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
78	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
79	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
80	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
81	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
82	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
83	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
84	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
85	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
86	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
87	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
88	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
89	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
90	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
91	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
92	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
93	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
94	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
95	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
96	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
97	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
98	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
99	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
100	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
101	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
102	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
103	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
104	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
105	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
106	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
107	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
