INT	INT	INT	STRING	STRING
28	10	4	Yªn Vß½ng C± Mµ	 #W&U #P ðang tò mò thám hi¬m trong Yªn Vß½ng C± Mµ, b²ng nhiên mµt lu°ng gió mÕnh §p t¾i, và vô tình th¤y #W&I #P bay l½ lØng trong gió, r°i b²ng r¾t ngay trß¾c m£t #W&U #P .
29	11	4	Võ Di	 #{_BOSS9} #P ðÕi bÕi tÕi Võ Di, khó lòng thoát khöi, bèn giao lÕi #W&I #P cho #W&U #P ð¬ ð±i l¤y con ðß¶ng s¯ng, th§t thäm hÕi.
30	12	4	Thäo Nguyên	 #W&U #P xu¤t thª d©p loÕn Thäo Nguyên, ðánh tan sào huy®t cüa #{_BOSS11} #P ,trong lúc thu d÷n hi®n trß¶ng b²ng nhiên phát hi®n ra #W&I #P !
31	13	4	Kim Cß½ng	 #{_BOSS7} #P ðÕi bÕi tÕi Thß½ng S½n, khó lòng thoát khöi, bèn giao lÕi #W&I #P cho #W&U #P ð¬ ð±i l¤y con ðß¶ng s¯ng, th§t thäm hÕi.
32	14	4	Chu Cáp	 #{_BOSS5} #P không ng¶ ðßþc #W&U #P uy lñc hùng mÕnh nhß v§y, ðành ch¸u thua và giao trä lÕi #W&I #P .
33	15	4	Vô Ð¸ch Thiên Miêu	 #{_BOSS3} #P nh¤t th¶i hoäng loÕn, tß·ng ð¯i phß½ng là h÷c trò, bèn l¤y ra #W&I #P giao cho #W&U #P , còn d£n dò: Hãy nh¾ giæ quy¬n sách này hµ ta !
34	15	4	Vô Ð¸ch Thiên Miêu	 #{_BOSS3} #P nh¤t th¶i hoäng loÕn, tß·ng ð¯i phß½ng là bÕn hi«n, bèn l¤y ra #W&I #P giao cho #W&U #P , còn d£n dò: Hãy giæ kî ð×ng giao cho ai khác !
35	15	4	Vô Ð¸ch Thiên Miêu	 #{_BOSS3} #P nh¤t th¶i hoäng loÕn, tß·ng ð¯i phß½ng là ngß¶i nhà, bèn l¤y ra #W&I #P giao cho #W&U #P , còn d£n dò: Hãy giæ kî ð×ng giao cho ai khác !
36	16	4	Ðoàn Diên Khánh	 #W&U #P và #{_BOSS2} #P so tài cao th¤p, biªt không th¬ là ð¯i thü, #{_BOSS2} ðành phäi l¤y ra ra #W&I #P và ch¸u thua.
37	16	4	Ðoàn Diên Khánh	 #W&U #P ðang cùng #{_BOSS2} #P chiªn ð¤u sinh tØ, b²ng nhiên có mµt cô gái áo tr¡ng tóc dài di ngang qua, #{_BOSS2} quä nhiên hai m¡t sáng rÞ, lúng ta lúng túng v¤p té, r¾t ra #W&I #P mà không h« hay biªt.
38	17	4	Cßu Ma Trí	 #W&U #P ðánh #{_BOSS1} #P mµt ðòn chí mÕng phäi ngã quÜ, n¡m c± áo và nói: Nþ mà ngß½i thiªu ta bao gi¶ m¾i trä hªt ! #{_BOSS1} gßþng mình ðÑng d§y, l¤y ra ra #W&I #P giao lÕi cho #W&U.
39	17	4	Cßu Ma Trí	 #W&U #P cùng ð°ng ðµi ðánh #{_BOSS1} #P ngã quÜ xu¯ng ð¤t, b¤t di b¤t d¸ch, #{_BOSS1} chï biªt cß¶i trong ðau ð¾n, cam tâm giao #W&I #P ð¬ giæ lÕi mÕng s¯ng.
40	18	4	Mµ Dung Phøc	 #W&U #P ðang quyªt ð¤u tr§n sinh tØ v¾i #{_BOSS0}, #P bèn hô to: huynh ð® ðâu, tiªn lên ! #{_BOSS0} nghe mà kinh hoàng, trong lúc tr¯n chÕy còn r¾t ra #W&I #P sau lßng mà không biªt.
41	18	4	Mµ Dung Phøc	 #W&U #P quä nhiên võ công thâm h§u, uy lñc khó lß¶ng, ðã khiªn #{_BOSS0} #P quÏ xu¯ng xin tha mÕng, hai tay giao trä lÕi #W&I #P .
42	19	4	Liên Hoàn Phó Bän	 #W&U #P ðang kéo thi th¬ #{_BOSS47} #P ra ngoài, b²ng nhiên phát hi®n th¤y #W&I #P .
43	19	4	Liên Hoàn Phó Bän	 #{_BOSS47} #P tñ minh biªt không phäi là ð¯i thü cüa #W&U #P , bèn giao trä lÕi #W&I #P và xin tha mÕng.
44	20	4	Bäo Tàng Ðµng	 #W&U #P tÕi #G&S #P nhi®t tình chiªn ð¤u v¾i #{_BOSS23} #P , cu¯i cùng ðã giành ðÕi th¡ng, xÑng ðáng nh§n ðßþc #W&I #P .
45	21	4	Cái Bang T±ng Ðà	 #G&S #P , #{_BOSS50} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
46	22	4	Nga My S½n	 #G&S #P , #{_BOSS51} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
47	23	4	Quang Minh Ði®n	 #G&S #P , #{_BOSS52} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
48	24	4	Thiªu Lâm Tñ	 #G&S #P , #{_BOSS53} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
49	25	4	Tinh Túc Häi	 #G&S #P , #{_BOSS54} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
50	26	4	Linh Linh Tñu Cung	 #G&S #P , #{_BOSS55} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
51	27	4	Võ Ðang S½n	 #G&S #P , #{_BOSS56} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
52	28	4	Lång Ba Ðµng	 #G&S #P , #{_BOSS57} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
53	29	4	Thiên Long Tñ	 #G&S #P , #{_BOSS58} #P b¸ #W&U #P t¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #P ð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #P cß¾p ngay trên tay.
54	30	4	Boss NgoÕi Cänh	 #G&S #P , sau khi ðÕi chiªn h½n 300 hi®p, #{_BOSS14} #P cäm th¤y quá v¤t vä ðành quay lßng tr¯n chÕy và nói: #W&U #P ! Khá khen cho höa kháng cüa ngß½i ! Hi®n tÕi ta không th¬ ðánh tiªp, v§y #W&I #P ngß½i xÑng ðáng ðßþc nh§n !
55	31	4	Phó Bän Bang Hµi	 #W&U #P d¯c sÑc tiêu di®t #{_BOSS43} #P , cu¯i cùng cûng giành ðßþc th¡ng lþi vë vang, ngoài ra còn l¤y ðßþc #W&I #P .
56	32	4	Phän T£c	 #W&U #P chiªn ð¤u dûng mãnh v¾i #{_BOSS29} #P , kªt quä là #{_BOSS29} #ðu¯i sÑc quÏ xu¯ng và nói: ÐÕi hi®p ! Tha cho ta con ðß¶ng s¯ng, thì &I #P này s¨ thuµc v« ðÕi hi®p !
57	32	4	Phän T£c	 #{_BOSS29} #P b¸ ðánh t¾i t¤p, bèn quay lßng tr¯n chÕy và nói: Bão táp ghê quá ! H©n l¥n sau v§y ! Khi mãi chÕy không biªt là ðã r¾t mµt cái túi nhö, #W&U #P m· túi ra xem, thì ra là #cB3DB35&I #P .
58	32	4	Phän T£c	 #W&U #P lÕnh lùng ð¯i m£t v¾i #{_BOSS29} #P , cä hai ð°ng th¶i xu¤t chiêu, #W&U #P khiªn #{_BOSS29} #P phäi ngã quÜ xu¯ng, ð°ng th¶i ðoÕt ðßþc #cB3DB35&I #P .
59	33	4	Bäo Sß½ng Ð°ng TØ	 #G&S #P , #W&U #P trong cuµc rßþt ðu±i ð¥y khó khån, cu¯i cùng cûng b¡t ðßþc #{_BOSS61} #P tinh quái, và nh§n ðßþc thành quä là #W&I #P .
60	34	4	Long Quy	 #GThánh Thú S½n #P mang vë ð©p hæu tình, #{_BOSS44} #P r¤t thích mang theo trÑng Long Quy ngao du kh¡p n½i, không h« biªt nãy gi¶ có ngß¶i rình r§p sau lßng,phát hi®n ra thì ðã muµn #W&U #ðã ôm tr÷n #W&I #P cao chay xa bay.
61	35	4	Anh Chiêu	 #W&U #P nghe ð°n trong Yªn TØ # có xu¤t hi®n thßþng c± th¥n thú Anh Chiêu, ðã kêu g÷i anh hùng góp sÑc ðánh bÕi #{_BOSS0} #P , #{_BOSS0} #P hªt cách ðành hai tay ðßa ra #W&I #P .
62	36	4	Ti¬u Hùng Hùng	 #GTô Châu (179,130) #YLâm Tri«u Hùng #P ðang kêu g÷i anh tài tham gia vòng ðua chÕy ng¡n tÕi Hàn Ng÷c C¯c, #{_BOSS62} Ö thân th¬ khöe mÕnh, ð¸nh ném #W&I #P vång ra xa, nhßng #W&U #P lÕnh lùng dùng lång ba vi bµ né tránh !
63	37	4	Ti¬u Th¯ Th¯	 #W&U #P Nh¶ có #GTô Châu (179,130) #YLâm Tri«u Hùng #P m¾i biªt r¢ng #{_BOSS64} ðang ¦n thân · Hàn Ng÷c C¯c, ðang say sßa trong gi¤c ngü, bèn xu¤t chiêu khiªn BOSS ngã quÜ. Cu¯i cùng ðÕt ðßþc #W&I #P .
64	38	4	Ti¬u Áp Áp	 #W&U #P cùng ðµi ngû ðªn #GTô Châu (179,130), dß¾i sñ giúp ðÞ cüa #YLâm Tri«u Hùng #P , ti«n vào Hàn Ng÷c C¯c, xu¤t th¥n tung mµt chß·ng khiªn #{_BOSS63} phäi ngã quÜ. Ð°ng th¶i ðÕt ðßþc #W&I #P .
65	39	4	Trß¶ng BÕch S½n	 #W&U #P ðang #G&S #P tìm nhân sâm kh¡p n½i, b²ng ngÕc nhiên phát hi®n ra #W&I #P , vui m×ng tµt ðµ.
66	39	4	Trß¶ng BÕch S½n	 #W&U #P ðã c¯ g¡ng b¤y lâu nay, tß·ng ch×ng m®t möi mu¯n bö cuµc #G&S #P , v¾i ngh¸ lñc phi thß¶ng cu¯i cùng cûng ðÕt ðßþc #W&I #P , nên tâm trÕng vui m×ng khôn tä.
67	41	4	Bang Hµi Trú	 #P Sau khi ðánh bÕi S½n Th¥n, #W&U #P nhanh chóng thu d÷n hi®n trß¶ng, ðang tìm dß¾i d¤u chân to l¾n cüa S½n Th¥n, b²ng phát hi®n có v§t gì l¤p lánh lung linh, hªt sÑc ngÕc nhiên, thì ra chính là #W&I #P .
68	42	4	Phiêu Diêu Phong Nguyên Li®u	 #W&U #P quyªt chiªn m®t möi trong Phiêu Mi­u Phong, nhi«u l¥n ðÕi nÕn thoát chªt mà vçn không th¤y quy¬n võ lâm bí t¸ch nào, may thay tr¶i không phø lòng ngß¶i, tìm th¤y ðßþc #W&I #P , xem nhß không u±ng công lâu nay !
69	43	4	Phiêu Diêu Phong Th¥n Chß½ng	 #W&U #P tÕi Phiêu Mi­u Phong b²ng phát hi®n mµt næ t£c trong tay ðang c¥m báu v§t bí ¦n, bèn hô to: có thích khách ! Næ t£c lúng túng quay lßng tr¯n chÕy r¾t cä báu v§t, lÕi g¥n thì phát hi®n quä nhiên là #W&I #P 
70	44	4	Phiêu Diêu Phong Hàn Ng÷c	 #P Mây mßa s¤m sét dày ð£c kh¡p khu vñc Phiêu Mi­u Phong, #W&U #P ðang tìm ch² tÕm trú qua c½n mßa vô tình phát hi®n ra ánh sáng l¤p lánh t× phía cu¯i góc tß¶ng, thì ra là #W&I #P .
71	45	4	Bäo Hµ Bang Hµi Thiên Cß½ng	 #P Sau khi ðánh bÕi S½n Th¥n, #W&U #P nhanh chóng thu d÷n hi®n trß¶ng, ðang tìm dß¾i d¤u chân to l¾n cüa S½n Th¥n, b²ng phát hi®n có v§t gì l¤p lánh lung linh, hªt sÑc ngÕc nhiên thì ra chính là #W&I #P .
72	46	4	Bäo Hµ Bang Hµi TrÑng Trân Thú	 #W&U #P ðang ði tu¥n tra qua lÕi trong thành th¸, b²ng nhiên có mµt âm thanh ch¤n ðµng t× phía xa, lÕi g¥n m¾i phát hi®n thì ra là #W&I #P , th§t b¤t ng¶ khó tä.
73	47	4	T¥n Hoàng Ð¸a Cung	 #W&U #P nghênh chiªn v¾i #{_BOSS78} #P tÕi T¥n Hoàng Ð¸a Cung T¥ng 1, khí thª h×ng hñc, v¾i uy lñc thâm h§u cüa mình và ð°ng ðµi, cu¯i cùng ðã ðoÕt ðßþc #W&I.
74	48	4	T¥n Hoàng Ð¸a Cung	 #W&U #P nghênh chiªn v¾i #{_BOSS79} #P · T¥n Hoàng Ð¸a Cung T¥ng 2, càng ðánh càng hång, nh¶ võ công thâm h§u cüa mình, cu¯i cûng ðã giành chiªn th¡ng vë vang, xÑng ðáng nh§n ðßþc #W&I.
75	49	4	T¥n Hoàng Ð¸a Cung	 #P TÕi T¥n Hoàng Ð¸a Cung T¥ng 3, #{_BOSS80} cäm th¤y ðã hªt ðß¶ng lui bèn nói v¾i #W&U #P : cûng chï vì #W&I #P thôi mà ! Ðßa hªt cho các ngß½i chßa ðü sao, còn muôn truy sát ta ðªn bao gi¶ !
76	50	4	Lâu Lan Liên Hoàn Phó Bän	 #W&U #P phi thân ðá #{_BOSS95} #P 1 cß¾c, không mu¯n thêm mµt cß¾c næa #{_BOSS95} #P ðành quay ngß¶i bö chÕy, trong lúc hoang mang #W&I #P b²ng r¾t ra trên m£t ð¤t. 
77	51	4	Lâu Lan Liên Hoàn Phó Bän	 #W&U #P tÕi Ðµc Chß¾ng TrÕch thu th§p dßþc thäo, không ng¶ lÕi r½i vào sào huy®t cüa #{_BOSS96} #P , thu§n tay v¾t ra #W&I #P r°i ¦n thân biªn m¤t. 
78	52	4	Lâu Lan Liên Hoàn Phó Bän	 #W&U #P tung 1 chiêu Bång Thiên Tuyªt ÐiÕ, #{_BOSS97} #P không ch¯ng cñ n±i cái lÕnh c¡t xß½ng th¸t, vÞ ra muôn ngàn mänh ð°ng th¶i bö lÕi 1 cái #W&I #P . 
79	53	4	T¥n Hoàng Ð¸a Cung	#b#W&U #P TÕi #G&S tu luy®n kh± sai giªt quái v§t, may m¡n nh§n ðßþc #W&I #P, th§t là không bõ công tu luy®n b¤y lâu.
80	54	4	T¥n Hoàng Ð¸a Cung	 #W&U #P · #G&S#P hùng h± chiªn ð¤u. Sau mµt h°i chiªn ð¤u v¤t vä, nh£t ðßþc mµt cái #W&I#P dß¾i g¯c cây.
81	55	4	T¥n Hoàng Ð¸a Cung	 #P&S b¤t ð¡c dî liªc #W&U#Pi, l¤y #W&I #P nói kh¨: Cho các ngß½i thÑ này còn không ðßþc sao, ð×ng qu¤y r¥y ta næa.
82	56	4	Phiêu Diêu Phong	#b #W&U #P · #G&S vô ý trßþt chân ngã vào thâm c¯c, ðÕi nÕn không chªt sau dù chßa phát hi®n ra võ lâm bí kíp, nhßng tìm ðßþc #W&I #P, coi nhß cûng không u±ng mµt phen mÕo hi¬m.
83	57	4	Phiêu Diêu Phong	 #u#W&U#P · #G&S phát hi®n mµt næ tØ c¥m trong tay bÑc hoÕ ð° ngØa m£t lên tr¶i hô to: Là nàng, là nàng!. Sau thä ngß¶i tñ do, b²ng có mµt cái #W&I #Psáng long lanh theo di lßu trên m£t ð¤t cùng bÑc hoÕ ð° lån ði.
84	57	4	Phiêu Diêu Phong	#P&S khi giông t¯ xu¤t hi®n, #W&U#P · trong s½n ðµng trú mßa trong lúc vô ý phát hi®n mµt viên #W&I#P · trong góc lòe lòe sáng lên.
85	58	4	TrÑng Trân Thú M¾i	&S#P thß·ng thÑc trÑng trân thú kÏ bäo, ðµt nhiên hàn quang hi®n lên #W&I#P r½i xu¯ng, #W&U#P nh§n ðßþc bèn nói: Ða tÕ!
86	58	4	TrÑng Trân Thú M¾i	 #b#W&U#P dçn d¡t hào ki®t tìm kiªm bäo tàng, ngçu nhiên cùng &S#P ðÕi chiªn mµt tråm hi®p, h¡n bö lÕi trong tay #W&I#P cu¯ng quít ðào t¦u.
87	58	4	TrÑng Trân Thú M¾i	#Y&S#P thß·ng thÑc trong tay kÏ bäo, ðµt nhiên #W&U#P bay ra, cß¾p ði #PkÏ bäo #W&I #P.
88	59	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P ngay tÕi &S ðánh bÕi BOSS trong nháy m¡t, #W&U#P ðßa tay thâm nh§p hài c¯t bên trong c¦n th§n s¶ soÕng, ðµt nhiên #W&I#P theo xß½ng c¯t bung ra, li«n c¥m lên ðÑng d§y trong màn ðêm ðen t¯i!
89	59	4	HoÕt Ðµng Thß¶ng Nh§t	&S#P g£p ðßþc t¾i cØa kêu gào ngß¶i, nh¤t th¶i ð¥u óc không minh, nghî l¥m ð¯i phß½ng t¾i n¸nh n÷t, vì thª ðem mµt viên #W&I#P thß·ng cho #W&U#P.
90	60	4	T¥n Hoàng Ð¸a Cung	 #W&U #P · #G&S#P hùng h± chiªn ð¤u. Sau mµt h°i chiªn ð¤u v¤t vä, nh£t ðßþc mµt cái #W&I#P dß¾i g¯c cây.
91	61	4	T¥n Hoàng Ð¸a Cung	 #P&S b¤t ð¡c dî liªc #W&U#Pi, l¤y #W&I #P nói kh¨: Cho các ngß½i thÑ này còn không ðßþc sao, ð×ng qu¤y r¥y ta næa.
92	62	4	Phiêu Diêu Phong	#b #W&U #P · #G&S vô ý trßþt chân ngã vào thâm c¯c, ðÕi nÕn không chªt sau dù chßa phát hi®n ra võ lâm bí kíp, nhßng tìm ðßþc #W&I #P, coi nhß cûng không u±ng mµt phen mÕo hi¬m.
93	63	4	Phiêu Diêu Phong	 #u#W&U#P · #G&S phát hi®n mµt næ tØ c¥m trong tay bÑc hoÕ ð° ngØa m£t lên tr¶i hô to: Là nàng, là nàng!. Sau thä ngß¶i tñ do, b²ng có mµt cái #W&I #Psáng long lanh theo di lßu trên m£t ð¤t cùng bÑc hoÕ ð° lån ði.
94	64	4	Phiêu Diêu Phong	#P&S khi giông t¯ xu¤t hi®n, #W&U#P · trong s½n ðµng trú mßa trong lúc vô ý phát hi®n mµt viên #W&I#P · trong góc lòe lòe sáng lên.
95	65	4	TrÑng Trân Thú M¾i	&S#P thß·ng thÑc trÑng trân thú kÏ bäo, ðµt nhiên hàn quang hi®n lên #W&I#P r½i xu¯ng, #W&U#P nh§n ðßþc bèn nói: Ða tÕ!
96	66	4	TrÑng Trân Thú M¾i	 #b#W&U#P dçn d¡t hào ki®t tìm kiªm bäo tàng, ngçu nhiên cùng &S#P ðÕi chiªn mµt tråm hi®p, h¡n bö lÕi trong tay #W&I#P cu¯ng quít ðào t¦u.
97	67	4	TrÑng Trân Thú M¾i	#Y&S#P thß·ng thÑc trong tay kÏ bäo, ðµt nhiên #W&U#P bay ra, cß¾p ði #PkÏ bäo #W&I #P.
98	68	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P ngay tÕi &S ðánh bÕi BOSS trong nháy m¡t, #W&U#P ðßa tay thâm nh§p hài c¯t bên trong c¦n th§n s¶ soÕng, ðµt nhiên #W&I#P theo xß½ng c¯t bung ra, li«n c¥m lên ðÑng d§y trong màn ðêm ðen t¯i!
99	69	4	HoÕt Ðµng Thß¶ng Nh§t	&S#P g£p ðßþc t¾i cØa kêu gào ngß¶i, nh¤t th¶i ð¥u óc không minh, nghî l¥m ð¯i phß½ng t¾i n¸nh n÷t, vì thª ðem mµt viên #W&I#P thß·ng cho #W&U#P.
